,No,Programme,Lead Entity
0,1,Agro-Industrialization Programme,Ministry of Agriculture
1,2,Governance and Security Programme,Office of the President
2,3,Public Sector Transformation Programme,Ministry of Public Service
3,4,Regional Development Programme,Ministry of Local Government
4,5,Administration of Justice,Judiciary
5,6,"Legislation, Oversight and Representation",Parliamentary Commission
6,7,Mineral Development Programme,Ministry of Energy
7,8,Sustainable Development of Petroleum Resources,Ministry of Energy
8,9,"Climate Change, Natural Resources , Environment and Water Management Development Programme",Ministry of Water
9,10,Sustainable Energy Development Programme,Ministry of Water
10,11,Sustainable Urbanization and Housing,Ministry of Lands
11,12,Human Capital Development Programme,Ministry of Education
12,13,Community Mobilization and Mindset Change Programme,Ministry of Gender
13,14,Tourism Development Programme,Ministry of Tourism
14,15,Private Sector Development Programme,Ministry of Finance
15,16,Manufacturing Programme,Ministry of Trade
16,17,Digital Transformation Programme,Ministry of ICT
17,18,"Innovation, Technology Development and Transfer",Ministry of Science
18,19,Development Plan Implementation Programme,Ministry of Finance
19,20,Integrated Transport Infrastructure and Services,Ministry of Works
