;Institution;Liquidity assessment for banking institutions;;;;;;;
SN 1.;Bank;Current ratio;;CustomerDeposits/loan;;Net liquid assets;;Loan to deposit;
;1.45 1.44 N Housing 1 Finance Bank;;;s;;;;;
;;;;654.1 559.8 35% 31% 84.10% 98%;;;;;
2.;Pride 2 Micro;1.62;1.56;174.37;140.82;0;0;105%;80%
;Finance;;;;;;;;
;;;;;;;;;
3. Post 3 Bank 1.11 1.13 0 0 0 0 74.50% 77%;;;;;;;;;
4.;Uganda 4;6.3;4.42;547;354;0;0;0;0
;Development;;;;;;;;
;Bank;;;;;;;;
Total 10 9 1375 1055 35% 31% 264% 255%;;;;;;;;;
;Average;3;2;344;264;9%;8%;66%;64%
