32;The 132kv Mirama-Kabale Transmission And Distribution Project-2020 Line;; No significant matters to report on.
;;;
;;;
;;;
;;;
;;;
No material issue reported. Energy for Rural Transformation III Implemented by Uganda Energy Credit Capitalization Company Limited (ERT III- UECCCL)  Unqualified 33 Opinion;;;
;;;
34;Energy for Transformation Project (ERT III). Rural III BOU;; No material findings to report on
;;;
;;;
;;;
;;;
EDUCATION SECTOR;;;
1;African Centre for Agro ecology and Livelihood Systems (ACALISE) Project – UMU;; I noted in the statement of income and expenditure that out of budgeted total revenue of USD 1,807,602 for the financial year 2020/2021, only USD 610,980 (33.8%) was realized leading to a budget shortfall of USD 1,196,622.
;2020/21 Unqualified Opinion;;
;;;
;;;
;;;
;;;
;;;
    I noted that the University did not indicate NTR estimates in its statement of Appropriation. How out of the budgeted NTR of UGX.706,000,000 for the collected representing a performance of 28% of the target. financial year 2020/2021, UGX.195,985,600 was The entity budgeted receive UGX.20.229Bn out of which UGX.19.621Bn was warranted, resulting into a shortfall of UGX.0.608 Bn which is 3% of the budget. to I noted the University received off-budget financing to the tune of UGX.36,710,266 which was not transferred to the consolidated fund as required by the law. Out of the total receipts (warrants) financial year of UGX.19.621Bn, UGX.17.484Bn was spent by the entity resulting into an under absorption of UGX.2.137Bn representing an absorption level of 89%. for the  Ten (10) outputs with a total of ninety-nine (99) activities and 2 Soroti University. 2020/21 Unqualified Opinion;;;
;;;
