       were partially implemented. The Mission did not prepare and submit annual monitoring plans to MoFPED and NPA and also did not prepare and submit quarterly monitoring reports to the Office of the Prime Minister and MoFPED contrary to Paragraph 58 of the Budget Execution Circular for 2019/20. The Mission had total collections including balance brought forward from previous year of UGX.1,702,152,606 out of which UGX.67,884,170 had been transferred to the Treasury for onward transfer to the Consolidated Fund leaving a balance UGX.1,634,268,436 not remitted. The Mission reported cash in transit of UGX.32,102,340 which relates to over 10 years ago which may be difficult for the Mission to trace or recover. The Statement of Contingent Liabilities in the financial statements for the year ended 30th June, 2020, indicated an opening balance of UGX.1,141,003,975.79 instead of UGX.542,522,152.97 resulting into an overstatement of UGX.598,481,822.82. During the year 2019/2020, management of the Mission was availed a supplementary funding of UGX.433,360,086 to cater for settlement of four (4) court cases but the Mission still remained with outstanding liabilities for settlement of court cases amounting to UGX.542,522,152 at the end of the year. The Embassy spent Euros.8,430.75 (equivalent to UGX.35,422,471) on refunds for medical expenses to its officers contrary to the requirements of Section M (m-a) (14) of the Public Service Standing Orders, 2010. The Embassy has an approved staff structure of 6 staff positions out of which 5 (83%) were filled leaving 1 (15%) vacant.;;;
32.;Uganda Embassy in Tokyo;; Out of the planned 17 (seventeen) strategic targets/goals in the Mission
;2019/20;; charter, nine (9) were fully achieved, 4 (four) were partially achieved while four (4) were not achieved at all. There was a shortfall in NTR collections amounting to UGX.1.451Bn
;Opinion Unqualified;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
