,Acronym,Meaning
0,BOU,Bank of Uganda
1,DLG,District Local Government
2,DMO,District Medical Officer
3,DRC,District Road Committee
4,EMHS,Essential Medicines and Health Supplies
5,HC IV,Health Center Four
6,ICT,Information Communication Technology
7,IESBA,International Ethics Standards Board for Accountants
8,INTOSAI,International Organization of Supreme Audit Institutions
9,ISSAI,International Standards of Supreme Audit Institution
10,LGFAM,Local Governments Financial and Accounting Manual 2007
11,LGFAR,Local Governments Financial and Accounting Regulations 2007
12,MMHS,Management of Medicines Health Supply
13,MoESTS,Ministry of Education Science and Technology and Sports
14,MoFPED,Ministry of Finance Planning and Economic Development
15,NMS,National Medical Stores
16,PFMA,Public Finance Management Act 2015
17,PPDA,Public Procurement and Disposal of Assets
18,RTI,Rural Transport Infrustructure
19,UGX,Uganda Shillings
20,UPE,Universal Primary Education
21,URA,Uganda Revenue Authority
22,URF,Uganda Road Fund
23,VAT,Value Added Tax
24,WHT,Withholding Tax
25,YIGs,Youth Intrest Groups
26,YLP,Youth Livelihood Programme
