1.2 1.2.1 1.2.3;reviewed the NTR estimates, current items and rates charged at vote level for the financial year 2019/2020 and noted that out of the budgeted NTR of UGX.450,000,000 for the financial year 2019/2020, only UGX.464,823,640 was collected representing the performance of 103.2% of the target. The revenue performance was UGX.14,823,640 over and above the budgeted The Accounting Officer attributed over performance to the direct revenue deposits to the NTR Account from Institutions that do their internships at the Hospital. Revenue Performance Non Tax Revenue Performance I;;;;;;;;I commended the Accounting Officer for the excellent performance.
;Performance of GOU receipts The entity budgeted to receive UGX. UGX.9,877,114,481 out of which UGX. 9,507,012,345 (96%) was warranted, resulting in a shortfall of UGX. .370, 102,136. (4%) of the budget. Revenue shortfalls affect the implementation of planned activities... The Accounting Officer attributed the shortfall to failure by the government to release 4 th quarter funds.;;;;;;;;government is commended for excellent performance The
1.2.4;"Performance from External Financing The entity did not budget to receive any external funding. However, during the year, the entity received UGX 350,491,362 as external/donor financing as shown in details below; able showing Performance from External Financing S/ Donor Approve d Budget” (UGX) ”000” Total Receipts (UGX) ”000” Varianc e (UGX) ”000” % Perfor manc e Baylor ug 0 UNICEF 0 Global 0 Fund 31,512 311,904 7,075. (31,512) (311,904) (7,075) 350,491 (350,491) N O 1 2 6 T Source: (Schedule of projects and subvention balances- D i sbursements for the year. Page 38 of the financial statements) Accounting Officer explained that they did not budget for donations because the funding partners had not provided the indicative planning figure prior to the budgeting time. The";;;;;;;;I advised the Accounting Officer to always liaise with Development Partners to provide indicative planning to enable the Hospital budget accordingly. figures
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1.2.4;off-Budget Receipts I noted that Fort portal Referral Hospital had no off-budget financing.;;;;;;;;I commend Accounting Officer. the
1.3;Under Absorption of Funds Out of the total receipts for the financial year of UGX.9,971,835,985, UGX. 9,507,158,154 was spent by the Hospital resulting in an unspent balance of UGX. 464,677,831 representing an absorption level of 95.3.%. The unspent balance at the end of the financial year was subsequently swept back to the consolidated fund account. Under absorption of released funds results in non-implementation of planned activities and negates the purpose for which funds were disbursed. The Accounting Officer attributed the unspent balance to the wage that was released for unfilled vacancies.;;;;;;;;I advised the Accounting Officer to liaise with the relevant authorities and ensure vacant positions are filled.
1.4;Quantification of Outputs/Activities noted that all the seven (7) sampled, All the seven (7) outputs sampled were fully quantified, as shown below and details are in Appendix III. I;;;;;;;;I commended the Accounting Officer for this.
