,the best procurement method. This had to be reinitiated as admeasurement with Employers design. v. Works for construction of Kamdini Weigh station. The delay was due to the need to standardize the design in line with the requirement of tripartite transporters facilitation program. vi. Rehabilitation of 40km equivalents along North Eastern Road- Corridor Asset Management Project There was a delay in approval of changes in scope arising out design changes due to increase in traffic along the road and a delay in approval of the ESIA for the road and sources of materials by World Bank.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,"3.5 Achievement of intended services from implemented outputs- I undertook an assessment to establish if there has been service delivery from a sample of outputs that were implemented and noted delays in completion of the activities and achievement of the outputs. The implication is that the services have yet to be delivered to the intended beneficiary communities. Table 3 below refers. Table 3: Achievement of intended services Output Planned Target FY 20/21 Audit remarks Output: 45180 National Road Construction /Rehabilitatio n (Bitumen Standard) Construction of Wanseko Ferry landing site. Construction of the BKK ferry landing site. 15.6 km- equivalents rehabilitated on Nakawa - Jinja road section 29 km-equivalents constructed 2 km-equivalents (Hoima- 37 constructed on Package Butiaba-Wanseko (111km)). 20 km-equivalents constructed along Muyembe- Nakapiripirit (92 km) I noted that works were at 58% level of completion 82% of construction works were not implemented I noted only 4km were rehabilitated. 25.6% of the planned target was achieved. equivalent of the were not 10.11km planned distance constructed 12.14km equivalents were not constructed I noted that only 4.91km were constructed; 15.09km of the plan were not constructed. failure to achieve the intended services from the implemented outputs negates the purpose of planning and budgeting. The Accounting Officer gave the following explanations for the delays in implementation of the sampled works: i. Construction of Wanseko Ferry landing site: The works stopped at 58% because of the rising water levels, the water levels are still high and the works are still suspended. The", , , ,I advised the Accounting Officer to urgently address the anomalies/ gaps noted in the implementation of these outputs to enable the community fully benefit the projects/programs implemented Government. from by
1, , , , , 
2, , , , , 
3, , , , , 
4, , , , , 
5, , , , , 
6, , , , , 
7, , , , , 
8, , , , , 
9, , , , , 
10, , , , , 
11, , , , , 
