,No Observation Recommendation,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,"majority being within Volume 5. From discussions with UNRA officials, it was revealed that by the time of the audit, 13 resettlement sites had been identified and these were being assessed for suitability. was noted that although the process of engaging a provider to support UNRA in developing housing options and building the agreed resettlement houses was initially scheduled to be completed by December 2020, no contractor had been procured for this purpose by the time of the audit in September 2021, implying a delay of over 9 months. The planned completion date for this activity has been revised to May 2022, yet civil works are scheduled to commence in January 2022. As a result, these 219 PAPs who were to be physically resettled were still residing within the project area and there is a risk that physical resettlement will not be completed in time before the commencement of works in January 2022. to the Accounting Officer, the implementation of the Physical Resettlement component of the RAP could not commence until detailed assessment of the vulnerable persons requiring physical resettlement was completed. The study is being carried out in conjunction with the EU support under “No-one Worse off Project” by Cities Alliance. UNRA is also working closely with the Directorate of Housing in the Ministry of Lands to provide technical assistance to guide the successful implementation of the physical resettlement process. It According", , , , , , , , 
1,4.4 Status of acquired land for the projects and resettlement of PAPs, , , , , , , , 
2,"I advised the Accounting Officer to engage with Ministry of Lands, Housing and Urban Development on the required taxes or duties for transfer of the titles to UNRA and to make the necessary budget provisions in order to secure legal ownership of the land acquired for the various projects. Status of Receipt and Transfer of Land titles for fully acquired plots According to the UNRA LARP 4 , titling shall involve subdivision, mutation of the Right of Way, transfer of the resultant Right of Way Certificate of Title registered interest from the PAPs to UNRA and return of the PAPs residual title where applicable. The RAP team shall return the residual titles to the PAPs within six months from the time of payment and obtain the consolidated title for the Right of Way. As at 30 th June 2021, it was noted that for both the KJE Project and the Hoima-Wanseko Project, titling of the acquired land was still incomplete. The Table below refers. No of Titles expected No of Titles received by UNRA No. of Titles NOT YET received by UNRA No of Titles to be directly transferred to UNRA No of Titles transferre d to UNRA 990 649 341 215 23 9 14 23 0 0 of the 990 titles expected for KJE Project, only 649 (66%) had been Project Kampala Jinja Expressw ay Hoima- Butiaba- Wanseko 4.4.1 Out", , , , , , , , 
3, , , , , , , , , 
4, , , , , , , , , 
5, , , , , , , , , 
6, , , , , , , , , 
7, , , , , , , , , 
8, , , , , , , , , 
9, , , , , , , , , 
10, , , , , , , , , 
11, , , , , , , , , 
12, , , , , , , , , 
