,Acronym,Meaning
0,CoC,Certificates of Compliance
1,GoU,Government of Uganda
2,FY,Financial Year
3,IESBA,International Ethics Standards Board for Accountants
4,INTOSAI,International Organisation of Supreme Audit Institutions
5,ISSAIs,International Standards of Supreme Audit Institutions
6,LGFAM,Local Government Financial and Accounting Manual
7,HR,Human Resource
8,HCMS,Human Capital Management System
9,IPPS,Integrated Payroll Personnel System
10,NDP,National Development Plan
11,NPA,National Planning Authority
12,MoPS,Ministry of Public Service
13,MoFPED,Ministry of Finance Planning and Economic Development
14,OAG,Office of the Auditor General
15,PAYE,Pay As You Earn
16,PBS,Program Budgeting System
17,PCA,Payroll Consults Africa
18,PDMS,Payroll Deduction Management System
19,PSST,Permanent Secretary/Secretary to Treasury
20,UCLA/UBA,Uganda Consumer Lenders’ Association/ Uganda Bankers’ Association
21,NUSAF,Northern Uganda Social Action Fund
22,PFMA,Public Finance Management Act
23,PFMR,Public Finance Management Regulations
24,SSTA,Sub Single Treasury Account
25,STA,Single Treasury Account
26,UgIFT,Uganda Intergovernmental Fiscal Transfers Program for Results
27,UGX,Uganda Shillings
28,NTR,Non-Tax Revenue
29,URF,Uganda Road Fund
30,UNICEF,United Nation International Children’s Emergency Fund
31,GAVI,Global Alliance for Vaccines and Immunisation
32,VAT,Value Added Tax
33,WHT,Withholding Tax
