Acronym;Meaning
AIA;Appropriation in Aid
F/Y;Financial Year
GOU;Government of Uganda
IESBA;International Ethics Standards Board for Accountants
INTOSAI;International Organization of Supreme Audit Institutions
ISSAIs;International Standards of Supreme Audit Institutions
MoFPED;Ministry of Finance Planning & Economic Development
MOH;Ministry of Health
MOU;Memorandum of Understanding
NAA;National Audit Act
NDP;National Development Plan
NTR;Non Tax Revenue
PBS;Program Budgeting System
PPDA;Public Procurement and Disposal of Assets
TIs;Treasury Instructions
UGX;Uganda Shillings
UHSSIP;Uganda Health Systems Strengthening Investment Project
