,"1. Production of quarterly reports on the status and functionality of District Road Committees and 2. Review and calibration of the funds allocation formula The Accounting Officer explained that implementation of majority of the above activities was affected by the COVID-19 pandemic and the nationwide lockdown during quarter two and three of the financial year. In addition, budget cuts by MOFPED affected the planned implementation of activities.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,"1.1.6 Achievement of intended services from implemented outputs- I undertook an assessment to establish if there has been service delivery from a sample of outputs that were implemented and noted the following (Table 5): Table 5: achievement of intended services Output Output: 45201 Road Fund Secretariat Services Planned Target FY 20/21 Report on spot M&E field visits on 48 Designated Agencies produced Report in- house Technical and Financial reviews of 45 agencies on 4 tracking report Program field Audit remarks 17 out of 48 DAs visited indicating that 30 Designated agencies were not visited for monitoring. Out of the 45 agencies planned for review, only 30 agencies were reviewed. However, the performance report indicated that 48 agencies were reviewed. I noted that out of the 4 quarterly program tracking reports only 3 were prepared failure to achieve the intended services from the implemented outputs negates the purpose of budgeting and implementing these activities. The", , , , , ,in I advised the Accounting Officer to urgently address the anomalies/ gaps noted the implementation of the outputs / activities to enable the communities to fully benefit from the projects/ programs implemented by the agencies.
1, , , , , , , 
2, , , , , , , 
3, , , , , , , 
4, , , , , , , 
5, , , , , , , 
6, , , , , , , 
7, , , , , , , 
8,"I noted that funds to the tune of UGX. 427,232,982 reallocated from the activities on which they were budgeted and spent on other activities without seeking and obtaining the necessary approvals. Reallocation/ diversion of funds is not only contrary to the Public Finance and Management Act, but it negatively affects the delivery of services and negates the purpose of budgeting. 1.1.7 Reallocation / Diversion of funds", , , , , ,I advised the Accounting Officer to ensure that spending is undertaken as per approved budget lines. I also advised that authority should be sought for any reallocations/diversio ns prior to spending in accordance with the regulations.
9, , , , , , , 
10,"1.1.8 Submission of Quarterly Performance Reports- Paragraph 8.12 (4,5,6) of the Treasury Instruction 2017, require the Accounting Officer to prepare reports for each quarter of the Financial Year in respect of the vote for which he/she is responsible. These reports shall contain financial and non-financial", , , , , ,I advised the Accounting Officer to ensure that performance reports are prepared and
11, , , , , , , 
