,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Cause,Unnamed: 5,Unnamed: 6,Implication,Unnamed: 8,Unnamed: 9,Recommendation,Unnamed: 11
0, , , , , ,Columns, , ,28.0,25.0, ,Passed
1, , , , , ,Columns, , ,26.0,25.0, ,Passed
2, , , , , ,Ring Beam, , ,25.0,25.0, ,Passed
3, , , , , ,Ring Beam, , ,18.0,25.0, ,Failed
4, , , , , ,Ring Beam, , ,24.0,25.0, ,Failed
5, , , , , ,Ring Beam, , ,25.5,25.0, ,Passed
6, , , , , ,Ring Beam, , ,28.0,25.0, ,Passed
7, , , , , ,Ring Beam, , ,27.0,25.0, ,Passed
8, , , , , , , , , , , , 
9,"(iv) Physical inspection to ascertain presence of defects The completed works were inspected on 16 th August, 2020 in the presence of a staff from Gulu Municipal Council Engineer’s. The following minor defects were observed; Cracks on the ceiling Peeling off of paint from the walls", , , , , , , , , , , 
10, , , , , , , , , , , , 
11, , , , , , , , , , , , 
12,Management response Corrections were done by the contractor and the documents got lost and the police report is attached for verification., , , , , , , , , , , 
