,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Cause,Unnamed: 6,Implication,Unnamed: 8,Recommendations,Unnamed: 10,Unnamed: 11
0,actual work done is measured during the performance of a contract and is finally reconciled on effecting payments. Audit review of the interim Payment Certificates No. 1 and 2 showed that detailed measurement sheets were not prepared for attaching to the payment certificates., , , , ,been effected., ,are prepared and attached to payment certificates., , , , 
1,"Management Response It is true that at the time of preparation of the certificates of payments, the Engineer relied on the quantities in the Bill of Quantities to prepare the certificates of payment. This came about because of the capacity gaps in the Engineering department. Management is working hard to breach this capacity gaps by recruiting more staff in the Engineering department and planned to support refresher courses for staff in the Engineering department to boost their performance in the subsequent contracts. Attached is the submission letter to District Service Commission of Gulu for recruitment of the principal Engineer. Auditor’s remarks To be followed up.", , , , , , , , , , , 
2,(ii) Payment above certified amounts Audit review of the payment documents for IPCs showed that the payments were consistent with certified amounts as detailed in the table below;, , , , , , ,OK, ,OK, , 
3,"Payments above certified amounts (Contractor) Ser. No. IPC No. DATE CERTIFIED BY PM AMOUNT CERTIFIED (UGX) AMOUNT PAID (UGX) PAYMENT ABOVE CERTIFIED Remarks 1 Advance 14-Mar-19 218,915,819 218,915,819 0 OK 2 IPC 1 10-May-19 405,763,866 405,763,866 0 OK 3 IPC 2 15-Aug-19 242,945,876 170,000,000 0 OK 867,625,561 794,679,685", , , , , , , , , , , 
4, , , , , , , , , , , , 
5, , , , , , , , , , , , 
6, , , , , , , , , , , , 
7, , , , , , , , , , , , 
8, , , , , , , , , , , , 
9,"(iii) Physical verifications to check overpayments On 16 th August 2020, in the presence of a representative assigned by the Municipality the audit team conducted field measurements on the project works and compared with the corresponding quantities certified in the IPCs No.1 and No.2. The audit noted that an overpayment of UGX 176,963,524 and UGX", , , , , , ,Loss of funds, ,"The Municipality should recover the overpayment of UGX 314,489,175.", , 
