,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Cause,Unnamed: 9,Implication,Unnamed: 11,Unnamed: 12,Unnamed: 13,Recommendations,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,"controls for certification and payment of executed works (i) Presence of detailed measurement sheets Clause 17(4) of the PPDA (contracts) regulations 2014 requires that the actual work done is measured during the performance of a contract and is finally reconciled on effecting payments. Audit review of the interim payment certificates 5, 6 and 7 (penultimate) showed that detailed measurement sheets were prepared and attached to the payment certificates.", , , , , , , , , , ,OK, , , ,OK, , , 
1,(ii) Payment above certified amounts Audit review of the payment documents for IPCs and Fee Notes showed that the payments were consistent with certified amounts as detailed in the respective tables below for works and services contracts respectively., , , , , , , , , , ,OK, , , ,OK, , , 
2,"Payments above certified amounts (Contractor) Ser. No. IPC No. AMOUNT CERTIFIED (UGX) AMOUNT PAID (UGX) PAYMENT ABOVE CERTIFIED Remarks 5 IPC 4 5,007,743,345 5,007,743,345 0 OK 6 IPC 5 2,751,776,583 2,751,776,583 0 OK 7 IPC 6 2,809,162,520 2,809,162,520 0 OK 8 IPC 7 7,181,325,039 7,181,325,039 0 OK TOTAL 17,750,007,487 17,750,007,487", , , , , , , , , , , , , , , , , , 
3, , , , , , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , , , 
6, , , , , , , , , , , , , , , , , , , 
7, , , , , , , , , , , , , , , , , , , 
8, , , , , , , , , , , , , , , , , , , 
9, , , , , , , , , , , , , , , , , , , 
10,"Payments above certified amounts (Consultant) Fee Note No. DATE SUBMITTED BY UB AMOUNT SUBMITTED (UGX) AMOUNT CERTIFIED (UGX) AMOUNT PAID INCL. 6% WHT (UGX) PAYMENT ABOVE CERTIFIED Remarks 4 12-Sep-18 152,185,518 132,012,000 132,012,000 0 OK 5 7-Dec-18 144,820,200 144,820,200 144,820,200 0 OK Total 276,832,200 276,832,200 0", , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , 
12, , , , , , , , , , , , , , , , , , , 
13, , , , , , , , , , , , , , , , , , , 
14, , , , , , , , , , , , , , , , , , , 
