,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Cause,Unnamed: 5,Implication,Unnamed: 7,Unnamed: 8,Recommendation,Unnamed: 10,Unnamed: 11
0,In-situ Tests Equipment /Tools Projects Structure or Layer Tested Auditors Result Specification Comment Concrete compressive strength Schmidt Hammer Renovation of Sacred Hearts SSS Dormitory (SFG) Access Ramp 22.0 20 Passed Access Ramp 26.0 20 Passed Access Ramp 27.0 20 Passed Access Ramp 25.0 20 Passed Drainage 25.0 20 Passed Drainage 28.0 20 Passed Drainage 19.0 20 Failed Drainage 20.0 20 Passed Slab Cover 28.0 20 Passed Slab Cover 19.0 20 Failed Slab Cover 20.0 20 Passed, , , , , , , , , , , 
1, , , , , , , , , , , , 
2, , , , , , , , , , , , 
3, , , , , , , , , , , , 
4, , , , , , , , , , , , 
5, , , , , , , , , , , , 
6, , , , , , , , , , , , 
7, , , , , , , , , , , , 
8, , , , , , , , , , , , 
9, , , , , , , , , , , , 
10, , , , , , , , , , , , 
11, , , , , , , , , , , , 
12, , , , , , , , , , , , 
13, , , , , , , , , , , , 
14,Management Response This work was just a renovation of already an existing structure of which our work added strength to the building hence will last longer. The major component of the work was to change the leaking roof of the two dormitories with better ones. Attached are the photographs., , , , , , , , , , , 
15,Auditor’s remarks The components checked by audit were part of drainage that was within the scope., , , , , , , , , , , 
16,(iv) Physical inspection to ascertain presence of defects The completed works were inspected on 16 th August 2020 in the presence of a staff from Gulu Municipal Council Engineer’s. The following minor defects were observed;, , , , , , , , , , , 
