,Underutilization of available funding affects the timely achievement of project objectives. Management explained the shortfalls were due to slow progress of works. The Contractor was not able to generate enough value of Interim Payment Certificates to utilize the funds as planned in the MTEF for the foreign funding component. The Contractor has already provided a fully resourced work plan which UNRA management shall ensure that the Contractor follows to improve disbursements going forward.,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,"1.2 Absorption of Funds Section 21(1) of the Public Finance Management Act, 2015 entrusts the Accounting Officer with the responsibility of planning and managing the entity’s activities as indicated in the policy statement of the vote based on the annual cash flow plan issued by the Secretary to Treasury during budget execution. Budget estimates are based on outputs to be achieved for the financial year and during implementation effort should be made to achieve the agreed objectives or targets of the entity within the availed resources. a total funding I noted that for a project that started operations in March 2020 with IsDB to UGX.405,675,600,000, only UGX.39,952,222,918 had been spent by 30 th June 2022, leaving an unspent balance of UGX.365,723,377,082. This represents approximately 9.9% absorption rate which is very low considering the fact that the Project time elapsed stood at 67.2% as at 30 th June 2022. amounting FY 2021/2022 position Budgeted (as per the Financial Statements) Actual expenditure (as per the Financial Statements) Un-utilized amount Percentage absorbed UGX 76,007,654,596 33,221,214,579 42,786,440,017 44% Cumulative position Total expected IsDB funding (as per the financing agreement) Expenditure to 30 June 2022 Un-utilised amount as at 30 June 2022 (UGX) Percentage of expenditure Percentage of Project time elapsed as at 30 th June 2022 405,675,600,000 39,952,222,918 365,723,377,082 9.9% 67.2% Low absorption of the IsDB funds could lead to the Agreement period expiring before the project is completed. Management attributed the low absorption of project funds to the slow progress by the Contractor. The Contractor has however already provided a fully resourced work plan which which management shall ensure that the Contractor follows to improve disbursements going forward. The Contractor is about to commence pavement layers which are high value", , ,in place I advised the Accounting Officer to put the necessary measures to ensure that planned activities related to the Project are executed in time so as to achieve the planned absorption of funds.
1, , , , 
2, , , , 
3, , , , 
4, , , , 
5, , , , 
6, , , , 
7, , , , 
8, , , , 
9, , , , 
10, , , , 
11, , , , 
12, , , , 
13, , , , 
14, , , , 
