,SN,(for which salary is paid) Month,Salary payment date,Required payment date,PAYE payment date,Variance (In days),Remarks
0,1.0,JUL-2020,30/07/2020,15/08/2020,21/08/2020,6,Delayed
1,2.0,AUG-2020,26/08/2020,15/09/2020,26/08/2020,0,In time
2,3.0,SEP-2020,24/09/2020,15/10/2020,27/10/2020,12,Delayed
3,4.0,OCT-2020,27/10/2020,15/11/2020,04/11/2020,0,In time
4,5.0,NOV-2020,26/11/2020,15/12/2020,26/11/2020,0,In time
5,6.0,DEC-2020,17/12/2020,15/01/2021,17/12/2020,0,In time
6,7.0,JAN-2021,27/01/2021,15/02/2021,12/03/2021,25,Delayed
7,8.0,FEB-2021,12/03/2021,15/03/2021,12/03/2021,0,In time
8,9.0,MAR-2021,22/03/2021,15/04/2021,15/04/2021,0,In time
9,10.0,APR-2021,29/04/2021,15/05/2021,29/06/2021,45,Delayed
10,11.0,MAY-2021,04/06/2021,15/06/2021,15/06/2021,0,In time
11,12.0,JUN-2021,22/06/2021,15/07/2021,29/06/2021,0,In time
12, ,Average, , , ,7, 
