,pensioners to be verified.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,"1.4 Internal Control Weaknesses i) Payments of salaries, pension & gratuity off IPPS Paragraph 4.5 of Establishment Notice No. 2 of 2019 requires the responsible officer to pay for only salaries, pension and gratuity processed through IPPS. a comparison of the payroll register and IFMS payment file, noted UGX.14,222,733 off the IPPS, as shown in Appendix 10. that 9 staff were paid total salaries amounting control weakness creates an opportunity for payment of salaries and pension to non-eligible persons, hence loss of funds to Government. I From This", , , , , , , , , , ,I advised the Accounting Officer to ensure that all salaries are paid through the IPPS.
1, , , , , , , , , , , , 
2, , , , , , , , , , , , 
3,"ii) Validation of employees, pensioners/beneficiaries on the IPPS against the NIRA interface I noted that the verification forms and copies of the verification cards for three (3) pensioners/beneficiaries were not on the respective personal files. Details are in the appendix 11; was therefore unable to validate, authenticate the accuracy of the payroll records (salary and pension) on the IPPS. of verification forms and cards on the staffs’ personal files was attributed to the practice of employees printing, signing and taking the verification forms and cards without keeping a copy on file. Accounting Officer promised to ensure that all verified officers will have their verification cards printed and put on their files. I Lack The", , , , , , , , , , ,await the the I outcome of Accounting Officer’s response.
4, , , , , , , , , , , , 
5, , , , , , , , , , , , 
6,1.5 System related challenges, , , , , , , , , , ,I advised the Accounting Officer to ensure that the entity IPPS payroll registers are consistent with MoPS payroll data.
7,"i) Inconsistencies between MoPS and entity payroll registers I noted that there was 1 staff were on the MoPS payroll but not on the District IPPS register as shown in the table below; Ippsno Supplier no 861925 102625 Employee name Nankumba Sarah MoPS IPPS Entity IPPS 7,498,116 Nil Grand Total 7,498,116 above undermines the integrity of the IPPS system and there is risk of manipulation and misappropriation of salary/pension funds due to lack of reconciliatory controls between the entity information and IPPS master data at MoPS. S n 1 The", , , , , , , , , , , 
8, , , , , , , , , , , , 
9, , , , , , , , , , , , 
10, , , , , , , , , , , , 
11, , , , , , , , , , , , 
12, , , , , , , , , , , , 
13,ii) Effectiveness and reliability of the IPPS/NID interface I reviewed the effectiveness and reliability of the IPPS/NID staff/pensioner/beneficiaries’ verification interface and noted the following;, , , , , , , , , , ,await the the I outcome of Accounting Officer’s response.
14, , , , , , , , , , , , 
