,Acronym,Meaning
0,BAC,Bukalasa Agricultural College
1,EUROPHYT,European Union Notification System for Plant Health Interceptions
2,F/Y,Financial Year
3,FTI,Fisheries Training Institute
4,GOU,Government of Uganda
5,IEC,"Information, Education and Communication"
6,INTOSAI,International Organization of Supreme Audit Institutions
7,ISA,International Standards on Auditing
8,ISPM,International Standards for Phytosanitary Measures
9,KPIs,Key Performance indicators
10,MAAIF,"Ministry of Agriculture, Animal Industry and Fisheries"
11,MDA,"Ministry, Department, and other Agencies"
12,MOFPED,"Ministry of Finance, Planning and Economic Development"
13,NAADS,National Agricultural Advisory Services
14,NFLC,National Farmers’ Leadership Center
15,NPPO,National Plant Protection Organization
16,PFMA,"Public Finance Management Act, 2015"
17,PPDA,Public Procurement and Disposal of Assets
18,SSES,Single Spine Agriculture Extension System
19,TAI,Treasury Accounting Instructions
20,UGX,Uganda Shillings
21,USD,United States Dollars
