,No,Entity Name,Audit Comment
0,1,Arua DLG,Distribution of items not approved by task force
1,2,Obongi DLG,Distribution of items not approved by task force
2,3,Madi Okollo DLG,Distribution of items not approved by task force
3,4,Kasese DLG,Distribution of items not approved by task force
4,5,Kabarole DLG,Distribution of items not approved by task force
5,6,Kitagwenda DLG,Distribution of items not approved by task force
6,7,Kamwenge DLG,Distribution of items not approved by task force
7,8,Kyegegwa DLG,Distribution of items not approved by task force
8,9,Kyenjojo DLG,Distribution of items not approved by task force
9,10,Ntoroko DLG,Distribution of items not approved by task force
10,11,Alebtong DLG,Distribution of items not approved by task force
