,12,Kitgum DLG,Distribution of items not approved by task force
0,13,Lira DLG,Distribution of items not approved by task force
1,14,Amuru DLG,Distribution of items not approved by task force
2,15,Kole DLG,Distribution of items not approved by task force
3,16,Hoima DLG,Distribution of items not approved by task force
4,17,Kiryandongo DLG,Distribution of items not approved by task force
5,18,Kagadi DLG,Distribution of items not approved by task force
6,19,Kibaale DLG,Distribution of items not approved by task force
7,20,Kakumiro DLG,Distribution of items not approved by task force
8,21,Kikuube DLG,Distribution of items not approved by task force
9,22,Kamuli DLG,Distribution of items not approved by task force
10,23,WAKISO DLG,Distribution of items not approved by task force
11,24,LUWERO DLG,Distribution of items not approved by task force
12,25,MPIGI DLG,Distribution of items not approved by task force
13,26,BUIKWE DLG,Distribution of items not approved by task force
14,27,KAYUNGA DLG,Distribution of items not approved by task force
15,28,Lyantonde DLG,Distribution of items not approved by task force
16,29,Bukomansimbi DLG,Distribution of items not approved by task force
17,30,Manafwa DLG,Distribution of items not approved by task force
18,31,Busia DLG,Distribution of items not approved by task force
19,32,Mbale DLG,Distribution of items not approved by task force
20,33,Butaleja DLG,Distribution of items not approved by task force
21,34,Tororo DLG,Distribution of items not approved by task force
22,35,Mbale RR Hospital,Distribution of items not approved by task force
23,36,Budaka DLG,Distribution of items not approved by task force
24,37,Bukwo DLG,Distribution of items not approved by task force
25,38,Kibuku DLG,Distribution of items not approved by task force
26,39,Bududa DLG,Distribution of items not approved by task force
27,40,Bulambuli DLG,Distribution of items not approved by task force
28,41,Kapchorwa DLG,Distribution of items not approved by task force
29,42,Namisindwa DLG,Distribution of items not approved by task force
30,43,Butebo DLG,Distribution of items not approved by task force
31,44,Kween DLG,Distribution of items not approved by task force
32,45,RUKUNGIRI DLG,Distribution of items not approved by task force
33,46,MBARARA DLG,Distribution of items not approved by task force
34,47,BUSHENYI DLG,Distribution of items not approved by task force
35,48,RUBANDA DLG,Distribution of items not approved by task force
36,49,KANUNGU DLG,Distribution of items not approved by task force
37,50,RWAMPARA DLG,Distribution of items not approved by task force
38,51,Moroto DLG,Distribution of items not approved by task force
39,52,Kaabong DLG,Distribution of items not approved by task force
40,53,Karenga DLG,Distribution of items not approved by task force
41,54,Amolatar District,Distribution of items not approved by task force
42,55,Amuria District,Distribution of items not approved by task force
43,56,Katakwi District,Distribution of items not approved by task force
44,57,Soroti District,Distribution of items not approved by task force
45,58,Serere District,Distribution of items not approved by task force
46,59,Kumi District,Distribution of items not approved by task force
47,60,Kaberamaido District,Distribution of items not approved by task force
48,61,Dokolo District,Distribution of items not approved by task force
49,62,Otuke District,Distribution of items not approved by task force
50,63,Ngora District,Distribution of items not approved by task force
51,64,Kapelebyong District,Distribution of items not approved by task force
52,65,Kalaki District,Distribution of items not approved by task force
53,66,Kampala Capital city Authority,Distribution of items not approved by task force
