,No.,Entity,Audit comment
0,1,Arua DLG,Donations not valued
1,2,Adjumani DLG,Donations not valued
2,3,Maracha DLG,Donations not valued
3,4,Nebbi DLG,Donations not valued
4,5,Kasese DLG,Donations not valued
5,6,Kitagwenda DLG,Donations not valued
6,7,Kamwenge DLG,Donations not valued
7,8,Kyegegwa DLG,Donations not valued
8,9,Kyenjojo DLG,Donations not valued
9,10,Ntoroko DLG,Donations not valued
10,11,Bunyangabu DLG,Donations not valued
11,12,Apac DLG,Donations not valued
12,13,Alebtong DLG,Donations not valued
13,14,Kitgum DLG,Donations not valued
14,15,Lira DLG,Donations not valued
15,16,Gulu RRH,Donations not valued
16,17,Agago DLG,Donations not valued
17,18,Amuru DLG,Donations not valued
18,19,Kole DLG,Donations not valued
19,20,Kwania DLG,Donations not valued
20,21,Oyam DLG,Donations not valued
21,22,Lira RRH,Donations not valued
22,23,Hoima DLG,Donations not valued
23,24,Kiryandongo DLG,Donations not valued
24,25,Kagadi DLG,Donations not valued
25,26,Kyankwanzi DLG,Donations not valued
26,27,Kiboga DLG,Donations not valued
27,28,Kibaale DLG,Donations not valued
28,29,Kakumiro DLG,Donations not valued
29,30,Kikuube DLG,Donations not valued
30,31,Kamuli DLG,Donations not valued
31,32,Luuka DLG,Donations not valued
32,33,Mayuge DLG,Donations not valued
33,34,Kaliro DLG,Donations not valued
34,35,Buyende DLG,Donations not valued
35,36,MUKONO DLG,Donations not valued
36,37,WAKISO DLG,Donations not valued
37,38,LUWERO DLG,Donations not valued
38,39,MPIGI DLG,Donations not valued
39,40,KAYUNGA DLG,Donations not valued
40,41,MITYANA DLG,Donations not valued
41,42,NAKASEKE DLG,Donations not valued
42,43,NAKASONGOLA DLG,Donations not valued
43,44,BUTAMBALA DLG,Donations not valued
