,No,Entity Name,Audit Comment
0,1,Arua DLG,Donations not taken on Charge
1,2,Kasese DLG,Donations not taken on Charge
2,3,Kabarole DLG,Donations not taken on Charge
3,4,Kamwenge DLG,Donations not taken on Charge
4,5,Kyegegwa DLG,Donations not taken on Charge
5,6,Kyenjojo DLG,Donations not taken on Charge
6,7,Ntoroko DLG,Donations not taken on Charge
7,8,Bunyangabu DLG,Donations not taken on Charge
8,9,Alebtong DLG,Donations not taken on Charge
9,10,Kitgum DLG,Donations not taken on Charge
10,11,Lira DLG,Donations not taken on Charge
11,12,Gulu RRH,Donations not taken on Charge
12,13,Amuru DLG,Donations not taken on Charge
13,14,Kole DLG,Donations not taken on Charge
14,15,Oyam DLG,Donations not taken on Charge
15,16,Hoima DLG,Donations not taken on Charge
16,17,Kiryandongo DLG,Donations not taken on Charge
17,18,Kagadi DLG,Donations not taken on Charge
18,19,Kibaale DLG,Donations not taken on Charge
19,20,Kikuube DLG,Donations not taken on Charge
20,21,Kamuli DLG,Donations not taken on Charge
21,22,Luuka DLG,Donations not taken on Charge
22,23,Buyende DLG,Donations not taken on Charge
23,WAKISO DLG,Donations not taken on Charge, 
24,25,LUWERO DLG,Donations not taken on Charge
25,26,BUIKWE DLG,Donations not taken on Charge
26,27,KAYUNGA DLG,Donations not taken on Charge
27,28,Lyantonde DLG,Donations not taken on Charge
28,29,Mubende DLG,Donations not taken on Charge
29,30,Bukomansimbi DLG,Donations not taken on Charge
30,31,Manafwa DLG,Donations not taken on Charge
31,32,Busia DLG,Donations not taken on Charge
32,33,Mbale DLG,Donations not taken on Charge
33,34,Butaleja DLG,Donations not taken on Charge
34,35,Tororo DLG,Donations not taken on Charge
35,36,Mbale RR Hospital,Donations not taken on Charge
36,37,Budaka DLG,Donations not taken on Charge
