,Laboratory Test Results,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Materials,Test,Auditors Result,Specification (Target subject to Table 4213/1),Comment,Auditor's Remarks
1, ,"Grading, Passing Sieve (mm)",Average, , , 
2,Asphalt Concrete (AC20),28,100,100,The gradation failed to meet the target requirement together with tolerance,The bitumen content as extracted is high. The mix is likely to bleed. In addition the ITS test fails
3, ,20,100,85.5-94.5, , 
4, ,14,84.9,66.5-73.5, , 
5, ,10,70,57.0-63.0, , 
6, ,5,46.4,43.7-48.3, , 
7, ,2.36,30.7,34.6-37.4, , 
8, ,1.18,20.1,25.9-28.1, , 
9, ,0.6,16.6,20.2-21.8, , 
10, ,0.3,10.8,14.4-15.6, , 
11, ,0.15,5.9,8.7-9.3, , 
