,SUMMARY OF THE COMPUTED OVERPAYMENTS,Unnamed: 1,Unnamed: 2
0,SER. NO.,ROAD LINK NAME,AMOUNT OF OVERPAYMENT
1,1,Sir Samuel Baker Road,-
2,2,Laroo Road,-
3,3,Alex Ojera,"17,246,376"
4,4,Tank Road,"5,086,340"
5,5,Brother Reuben Road,"2,344,960"
6,6,Hassan Mitchel road,"316,700"
7,7,Dr. Kenneth Onekalit Road,"3,504,816"
8,8,Nyerere Road,-
9,9,Odida Road,"9,078,048"
10,10,Timothy Okwera Road,-
11,11,Lasto Oketch Road,"14,505,000"
12,12,Golf Course Road,"633,400"
13,13,Peter Paul Opok Road,-
14,TOTAL, ,"52,715,640"
