,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Cause,Unnamed: 5,Implication,Recommendation,Unnamed: 8,Unnamed: 9
0,"to ascertain conformance to design drawings and specifications. The results are presented in the table below. From the table, some items checked did not conform to the drawings and specifications. Drawings/ External dimensions of the structure Height of screen wall Rafters Purlins Walkway Door shutters (No.) Urinal room Size of the septic tank 1 3 4 5 6 7 8 9 table above shows that 5 out of the 8 items checked In-situ concrete tests could not be carried out on the structure since all concrete elements were already overlaid with cement-sand mortar finishes. (iv) Physical inspection to ascertain presence of The auditors inspected works on 8 th August 2018 in the The following were observed: Poor floor screed finishing. Cement grout finish poorly done. conformance Management Response All the dimension here are well within the range, it is even (iii) Conformance of Audit Test Results to Specifications hecks for Design Conformance No. Items C The No. Items Drawings/ 1 External dimensions of the structure 3 Height of screen wall 4 Rafters 5 Purlins 6 Walkway 7 Door shutters (No.) 8 Urinal room 9 Size of the septic tank", , , ,procedures and lack of attention to design details., ,specified physical specifacations may lead to the infrastructure failing to perform as intended.,should always ensure that works are executed as per design drawings and physical specifications so as to ensure the completed infrastructure performs as intended that, , 
1, , , , , , ,checks/ measurements checks/ measurements, ,Conformity Conformity, 
2, , , , ,6700x3150mm 6700x3150mm, ,6650x3110mm 6650x3110mm, ,Ok Ok, 
3, , , , ,2000mm 2000mm, ,1950mm 1950mm, ,Ok Ok, 
4, , , , ,100x50mm 100x50mm, ,100x50mm 100x50mm, ,Ok Ok, 
5, , , , ,75x50mm 75x50mm, ,75x50mm 75x50mm, ,Ok Ok, 
6, , , , ,wide wide, ,1180mm 1180mm wide wide, ,No No conformity conformity, 
7, , , , ,(5No.) (5No.), ,830x2100mm 830x2100mm (5No.) (5No.), ,No No conformity conformity, 
8, , , , ,1500x1150mm 1500x1150mm, ,1070x1660mm 1070x1660mm, ,No No conformity conformity, 
9, , , , ,6260x2460mm 6260x2460mm, ,6330x2470mm 6330x2470mm, ,Ok Ok, 
10, , , , ,"table above shows that 5 out of the 8 items checked In-situ concrete tests could not be carried out on the structure since all concrete elements were already overlaid with cement-sand mortar finishes. (iv) Physical inspection to ascertain presence of The auditors inspected works on 8 th August 2018 in the The following were observed: Poor floor screed finishing. Cement grout finish poorly done. conformance Management Response All the dimension here are well within the range, it is even (iii) Conformance of Audit Test Results to Specifications The", , , ,Staff from Premature wearing of the floor surface. are bigger than N/A,representing 63% Engineer’s Office Gulu. The cement grout finish should be re-done. on contract. N/A
