,Implementing Agency,Gulu Municipal Council
0,Funding,URF
1,Project Manager,Municipal Engineer
2,Works contractor,Destiny Civil Engineering Limited
3,Procurement Reference Number,GMC754/Wrks/76-18/00001
4,Date of contract award,21 st February 2018
5,Contract signing date,23 rd February 2018
6,Planned Commencement date,1 st March 2018
7,Actual commencement date,16 th March 2018
8,Original contract period,4 Months
9,Initial of completion date,30 th June 2018
10,Revised date Completion,30 th September 2018
11,Planned amount,"UGX 980,000,000 (As per annual work plan)"
12,Engineer’s estimate,"UGX 1,040,639,632"
13,Contract amount,"UGX 977,861,939"
