,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Cause,Unnamed: 8,Implication,Unnamed: 10,Unnamed: 11,Unnamed: 12,Recommendations,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,TOTAL, , , , , , , , , , ,"3,504,816", , , , , 
1,Response We have remeasured all works for IPC-7 and our final quantities for access slabs is 223.5. Comment To be followed up. Management Audit, , , , , , , , , , , , , , , , 
2,"Item No. 8) NYERERE AVENUE (0.82KM) : Overpayment computation on NYERERE AVENUE (0.82KM) The Auditor conducted measurements of 4 BoQ Items. Of these items checked, none was found to have been overpaid. Some items were observed to have been underpaid; as shown in the table inset below; which requires re-checking and resolving through subsequent IPCs. Item Description Location Unit Rate Remarks Measur ed Qty Certifi ed Qty Difference (Certified- Audit) Amount of Overpay ment 23.01( a) Precast concrete Clas s 30 barrier kerb ref. ANNEX 3.1.5(b)(iii)_8(a) 23.17( b) 23.17( c) 42.01( a) Precast Cover slabs without up stand beam ref. ANNEX 3.1.5(b)(iii)_8(b) Cover slabs with Up stand beam ref. ANNEX 3.1.5(b)(iii)_8(b) Asphalt (A/C) concrete ref. ANNEX 3.1.5(b)(iii)_8(d) m 1,596.50 -211.65 51,200 0.00 No. 523.00 519.00 -4.00 126,700 0.00 No. 277.00 -20.00 158,350 0.00 1,384.8 5 257.00 Quantities should be checked to resolve underpayment Quantities should be checked to resolve underpayment Quantities should be checked to resolve underpayment m3 362.62 362.98 0.36 896,800 OK TOTAL 0.00 8", , , , , , , , , , , , , , , , 
3, , , , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , 
6, , , , , , , , , , , , , , , , , 
7, , , , , , , , , , , , , , , , , 
8, , , , , , , , , , , , , , , , , 
9, , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , 
