,Implementing Agency,Gulu Municipal Council
0,Funding,Discretionary Development Equalization Grant (DDEG)
1,Works contractor,Build Skills Consult Limited
2,Procurement No. Reference,Gulu 754/Wrks/17-18/00002
3,Date of contract award,2 nd February 2018
4,Contract signing date,6 th February 2018
5,Commencement date,"11 th February 2018 (As per signed contract, 5 days from date of signing of Contract)"
6,Actual commencement date,13 th February 2018
7,Original contract period,No information
8,Initial date of completion,June 2018
9,Revised completion date of, 
10,Actual Completion Date,No information
11,Contract amount,"UGX 73,644,080= VAT inclusive"
12,Engineers estimate,No information
13,Actual value of work done,"UGX 73,644,080="
