,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Cause,Unnamed: 7,Unnamed: 8,Implication,Unnamed: 10,Unnamed: 11,Recommendations,Unnamed: 13,Unnamed: 14
0,Management Response All quantities were remeasured and corrected. The particular item 23.18a access slabs was corrected for IPC-6 and has been reconfirmed for IPC-7 as 290. Comment To be followed up Audit, , , , , , , , , , , , , , 
1,"10: Overpayment computation on TIMOTHY OKWERA ROAD (0.25KM) The Auditor conducted measurements of 5 BoQ Items. Of these items checked, none of the items was found to have been overpaid. In fact, some items were observed to have been underpaid; as shown in the table inset below; which requires re-checking and resolving through subsequent IPCs. Un it Measur ed Qty Certifi ed Qty Difference (Certified- Audit) Amount of Overpaym ent Rate Remarks Item No. Item Description Location 23.01(a) 23.17(b) 10) TIMOTHY OKWERA ROAD (0.25KM) Precast concrete Class 30 barrier kerb Precast Cover slabs without up stand beam Cover slabs with Up stand beam Class 30 concrete Access Slab 23.17(c ) 23.18(a) precast ref. ANNEX 3.1.5(b)(iii)_10(a) ref. ANNEX 3.1.5(b)(iii)_10(b) ref. ANNEX 3.1.5(b)(iii)_10(b) ref. ANNEX 3.1.5(b)(iii)_10(c) ref. ANNEX 3.1.5(b)(iii)_10(d) 42.01(a) Asphalt concrete (A/C) m3 128.48 132.00 TOTAL Response We have remeasured all quantities for IPC-7 and accordingly corrected. Comment To be followed up. m 482.90 477.22 -5.68 51,200 No. 259.00 257.00 -2.00 126,700 No. 144.00 144.00 No. 295.60 295.70 0.00 0.10 3.52 158,350 159,600 896,800 0 0 0 0 Ok Ok Ok OK OK Management Audit", , , , , , , , , , , , , , 
2, , , , , , , , , , , , , , , 
3, , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , 
6, , , , , , , , , , , , , , , 
7, , , , , , , , , , , , , , , 
8, , , , , , , , , , , , , , , 
9, , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , 
