,Acronym,Meaning
0,GoU,Government of Uganda
1,IESBA,International Ethics Standards Board for Accountants Code of Ethics for Professional Accountants
2,INTOSAI,International Organization of Supreme Audit Institutions
3,ISSAIs,International Standards of Supreme Audit Institutions
4,MDAs,"Ministries, Departments and Agencies"
5,Bn,Billion
6,MoFPED,"Ministry of Finance, Planning and Economic Development"
7,MoWT,Ministry of Works and Transport
8,NAA,National Audit Act
9,NITA-U,National Information Technology Authority of Uganda
10,NDP,National Development Plan
11,NPA,National Planning Authority
12,OAG,Office of the Auditor General
13,PPDA,Public Procurement and Disposal of Public Assets
14,PFM,Public Finance Management
15,PFMA,Public Finance Management Act
16,PFMR,Public Finance Management Regulations
17,PPDA,Public Procurement & Disposal of Public Assets
18,BEC,Budget Execution Circular
19,PS/ST,Permanent Secretary / Secretary to the Treasury
20,TI,Treasury Instructions
21,UCAA,Uganda Civil Aviation Authority
22,UCF,Uganda Consolidated Fund
23,UGX,Uganda Shilling
24,USD,United States Dollars
25,UNACL,Uganda National Airlines Company Limited
26,PDU,Procurement and Disposal Unit
27,HR,Human Resource
