,COC,Certificate of Compliance
0,ISSAIs International Standards of Supreme Audit Institutions, 
1,INTOSAI,International Organization of Supreme Audit Institutions
2,KCCA Kampala Capital City Authority, 
3,KIIDP,Kampala Institutional And Infrastructure Development Project
4,"MDA Ministries, Departments and Agencies", 
5,NSSF,National Social Security Fund
6,NDP National Development Plan, 
7,NTR,Non-Tax Revenue
8,PPDA Public Procurement and Disposal of Assets Authority, 
9,PFMA,"Public Finance Management Act, 2015"
10,TAIs Treasury Accounting Instructions, 
