,S/N,Type of medical equipment,Recommended no.,Available no.,Not available
0,1,monitors,15,4,11
1,2,Delivery beds,5,2,3
2,3,Baby warmers,5,2,3
3,4,Patient trolleys,6,2,4
4,5,Wheelchairs,4,1,3
5,6,Vacuum extractor,4,2,2
6,7,MVA,6,3,3
7,8,Treatment trolleys,20,8,12
8,9,Delivery sets,10,3,7
9,10,Vagina speculum cucos,55,20,35
10,11,Evacuation sets,10,3,7
11,12,Sims speculum vagina,55,10,45
12,13,D and C set,11,4,7
13,14,C-section sets,20,10,10
14,15,Hysteritactomy,2,0,2
15,16,laparotomy,2,1,1
16,17,Oxygen cylinders,10,6,4
17,18,Oxygen concentrator,5,1,4
18,19,Oxygen cylinder head,10,3,7
19,20,Suction machine,4,2,2
20,21,BP machine,5,1,4
21,22,stethoscope,5,2,3
22,23,Rescistation neonatal kit,10,6,4
23,24,Adult Rescistation kit,8,2,6
24,25,Sterilizer drums,20,13,7
25,26,Autoclaves,8,4,4
26,27,Cheatle forceps,10,6,4
27,28,Drip stands,70,12,58
28,29,Baby weighing scales,6,2,4
