S/N;Month (for which salary is paid);Salary payment date;Required payment date;PAYE payment date;Variance (In days);Remarks
1;July;8/3/2020;9/15/2020;9/7/2020;0;In time
2;August;8/26/2020;9/15/2020;9/30/2020;15;Delayed
3;September;9/21/2020;10/15/2020;10/29/2020;14;Delayed
4;October;10/26/2020;11/15/2020;11/16/2020;1;Delayed
5;November;11/26/2020;12/15/2020;12/18/2020;3;Delayed
6;December;12/16/2020;1/15/2021;2/15/2021;31;Delayed
7;January;1/28/2021;2/15/2021;3/3/2021;16;Delayed
8;February;2/25/2021;3/15/2021;3/25/2021;10;Delayed
9;March;3/25/2021;4/15/2021;4/14/2021;0;In time
10;April;4/22/2021;5/15/2021;5/3/2021;0;In time
11;May;5/25/2021;6/15/2021;6/15/2021;0;In time
12;June;6/22/2021;7/15/2021;6/29/2021;0;In time
;Total;;;;90;
;Average;;;;7.5;
