,S/N,Vote,Vote Name,No. of Beneficiaries with delays,Range of delay in months,No. of Beneficiaries not accessed by year end
0,1.0,556,Yumbe DLG,20,4 to 5 Months,0
1,2.0,587,Zombo DLG,1,1 Months,0
2,3.0,785,Koboko MC,6,3 Months,0
3,4.0,633,Madi-Okollo DLG,5,5 to 6 Months,0
4,5.0,539,Moyo DLG,6,1-2 Months,0
5,6.0,563,Koboko DLG,1,1-6 months,0
6,7.0,501,Adjumani DLG,3,1-6 Months,0
7,8.0,518,Kamwenge DLG,2,1-2 Months,0
8,9.0,513,Kabarole DLG,9,7-24 Months,0
9,10.0,595,Ntoroko DLG,1,2 Months,0
10,11.0,584,Kyegegwa DLG,6,7-24 Months,4
11,12.0,521,Kasese DLG,5,0-1 Months,0
12,13.0,753,Fort Portal MC,9,1-24 months,0
13,14.0,530,Kyenjojo DLG,2,14 Months,2
14,15.0,576,Buliisa DLG,3,7-24 Months,0
15,16.0,509,Hoima DLG,11,1-9 Months,0
16,17.0,771,Hoima MC,10,1-30 Months,0
17,18.0,613,Kagadi DLG,6,1-4 Months,0
18,19.0,614,Kakumiro DLG,4,1-5 Months,0
19,20.0,524,Kibaale DLG,13,1-7 Months,3
20,21.0,525,Kiboga DLG,19,1-120 Months,0
21,22.0,628,Kikuube DLG,5,1-8 Months,0
22,23.0,592,Kiryandongo DLG,6,1-7 Months,0
23,24.0,597,Kyankwanzi DLG,1,1 Months,0
24,25.0,534,Masindi DLG,20,1-10 Months,0
25,26.0,774,Masindi MC,11,1-3 Months,0
26,27.0,504,Bugiri DLG,4,1 - 6 Months,0
27,28.0,795,Bugiri MC,0, ,3
28,29.0,624,Bugweri DLG,0, ,15
29,30.0,583,Buyende DLG,7,1 - 21 Months,1
30,31.0,510,Iganga DLG,32,2 - 240 Months,19
31,32.0,755,Jinja MC,35,1 - 88 Months,0
32,33.0,561,Kaliro DLG,3,1 - 6 Months,2
33,34.0,517,Kamuli DLG,14,1 - 2 Months,0
34,35.0,789,Kamuli MC,5,1 - 8 Months,0
35,36.0,788,Lugazi MC,13,1 - 6 Months,6
36,37.0,593,Luuka DLG,19,1-16 months,11
37,38.0,535,Mayuge DLG,16,1 - 120 Months,15
