,S/N,Vote No.,Vote Name,No. of employees paid without signed pay change reports,Amount paid (UGX)
0,1.0,556,Yumbe DLG,16,"52,727,279"
1,2.0,633,Madi-Okollo DLG,38,"29,330,028"
2,3.0,584,Kyegegwa DLG,6,"2,852,917"
3,4.0,521,Kasese DLG,3,"2,274,576"
4,5.0,771,Hoima MC,10,"33,792,884"
5,6.0,628,Kikuube DLG,10,"14,571,795"
6,7.0,592,Kiryandongo DLG,23,"46,112,214"
7,8.0,774,Masindi MC,73,"61,299,481"
8,9.0,795,Bugiri MC,5,"29,073,390"
9,10.0,510,Iganga DLG,55,"30,000,000"
10,11.0,773,Iganga MC,15,"7,900,291"
11,12.0,755,Jinja MC,3,"6,202,537"
12,13.0,574,Namutumba DLG,5,"3,371,913"
13,14.0,792,Njeru MC,15,"16,677,139"
14,15.0,580,Lyantonde DLG,17,"22,846,471"
15,16.0,507,BUSIA DLG,27,"4,567,593"
16,17.0,579,BuduDLG DLG,12,"33,563,249"
17,18.0,566,Manafwa DLG,2,"7,461,459"
18,19.0,610,Buhweju DLG,30,"184,483,367"
19,20.0,560,Isingiro DLG,5,"9,087,270"
20,21.0,578,Bukedea DLG,1,"14,884,404"
21,22.0,564,Amolatar DLG,7,"5,725,005"
22,23.0,503,Arua DLG,29,"51,348,377"
23,24.0,502,Apac DLG,98,"210,381,853"
24, ,Total, ,505,"880,535,492"
