,42.,772,Mukono MC,1,1 to 2 Months,0
0,43.0,779,Nansana MC,3,1 to 2 Months,0
1,44.0,590,Buvuma DLG,20,1 to 8 Months,0
2,45.0,780,Makindye Sabagabo MC,4,2 to 3 Months,0
3,46.0,544,Nakasongola DLG,18,1 to 5 Months,0
4,47.0,580,Lyantonde DLG,27,1 Month,27
5,48.0,600,Bukomansimbi DLG,16,1 Month,0
6,49.0,621,Kyotera DLG,95,1 to 4 Months,0
7,50.0,599,Lwengo DLG,23,1-3 months,0
8,51.0,625,KassanDLG DLG,11,1-12 months,0
9,52.0,591,Gomba DLG,4,1-3 months,0
10,53.0,605,KIBUKU DLG,27,1 to 4 Months,0
11,54.0,557,Butaleja DLG,10,1 to 3 months,0
12,55.0,601,Mitooma DLG,47,2- 14 months,74
13,56.0,562,Kiruhura DLG,38,1-2 months,-
14,57.0,558,IbanDLG DLG,191,1- 9 months,74
15,58.0,512,Kabale DLG,76,1-2 months,50
16,59.0,519,Kanungu DLG,11,1-6 months,0
17,60.0,761,Mbarara MC,14,1-4 months,0
18,61.0,537,Mbarara DLG,29,6-12 months,0
19,62.0,631,Rwampara DLG,51,1-4months,0
20,63.0,778,Rukungiri DLG,7,0-1month,0
21,64.0,620,Rukiga DLG,6,1-4 Months,0
22,65.0,604,Napak DLG,15,1 Month,0
23,66.0,762,Moroto DLG,1,1 month,0
24,67.0,623,Nabilatuk DLG,27,1 month,0
25,68.0,573,Abim DLG,102,2 months,0
26,69.0,543,Nakapiripiriti DLG,16,1-34 Months,0
27,70.0,528,Kotido DLG,39,1 Month,0
28,71.0,522,Katakwi DLG,4,1-2 Months,0
29,72.0,564,Amolatar DLG,32,1-12 Months,17
30,73.0,635,Kalaki DLG,47,1-6 Months,0
31,74.0,529,Kumi DLG,78,1-3 Months,4
32,75.0,859,Soroti MC,10,1-7 Months,0
33,76.0,553,Soroti DLG,123,2-6 Months,0
34,77.0,514,Kaberamaido,4,1-Mmonths,0
35, ,Total, ,"2,178",1-34 months,407
