,Over Payment of Salary,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,S.No,Vote No.,Vote Name,Amount (UGX)
1,1,556,Yumbe DLG,"10,748,899"
2,2,785,Koboko MC,"1,930,873"
3,3,563,Koboko DLG,"4,193,492"
4,4,518,Kamwenge DLG,"18,610,306"
5,5,584,Kyegegwa DLG,"900,000"
6,6,521,Kasese DLG,"1,495,951"
7,7,753,Fort Portal MC,"1,547,570"
8,8,505,Bundibugyo DLG,"29,467,392"
9,9,576,Buliisa DLG,"516,940"
10,10,509,Hoima DLG,"1,380,792"
11,11,524,Kibaale DLG,"4,137,870"
12,12,525,Kiboga DLG,"3,632,888"
13,13,628,Kikuube DLG,"4,919,860"
14,14,592,Kiryandongo DLG,"1,935,272"
15,15,534,Masindi DLG,"11,449,047"
16,16,795,Bugiri MC,"5,020,000"
17,17,624,Bugweri DLG,"25,277,939"
18,18,535,Mayuge DLG,"11,002,692"
19,19,568,Mityana DLG,"2,992,554"
20,20,532,Luwero DLG,"150,886,620"
21,21,779,Nansana MC,"2,494,859"
22,22,780,Makindye Sabagabo MC,"8,992,140"
23,23,515,KALANGALA DLG,"2,021,037"
24,24,579,Bududa DLG,"26,658,790"
25,25,566,Manafwa DLG,"6,814,984"
26,26,610,Buhweju DLG,"278,550,496"
27,27,506,Bushenyi DLG,"508,439"
28,28,631,Rwampara DLG,"6,766,726"
29,29,616,Rubanda DLG,"12,101,332"
30,30,623,Nabilatuk DLG,"41,886,731"
31,31,573,Abim DLG,"2,172,750"
32,32,543,Nakapiripiriti DLG,"6,225,884"
33,33,578,Bukedea DLG,"4,368,548"
34,34,522,Katakwi DLG,"1,541,478"
35,35,553,Soroti DLG,"2,539,634"
36,36,514,Kaberamaido,"1,255,265"
37,37,554,Tororo DLG,"4,068,031"
38,38,502,Apac DLG,"168,951,417"
39, ,Total, ,"869,965,498"
40,Under payment of salary, , , 
41,S.No,Vote No.,Vote Name,Amount (UGX)
42,1,563,Koboko DLG,"17,389,905"
43,2,518,Kamwenge DLG,"3,114,907"
44,3,595,Ntoroko DLG,"5,813,601"
45,4,753,Fort Portal MC,"1,778,000"
46,5,505,Bundibugyo DLG,"2,160,338"
47,6,509,Hoima DLG,"6,513,663"
48,7,771,Hoima MC,"29,604,189"
49,8,614,Kakumiro DLG,"10,643,039"
