,39.,574,Namutumba DLG,19,1 - 137 Months,8
0,40.0,582,Buikwe DLG,22,7 to 24 Months,0
1,41.0,568,Mityana DLG,16,1 to 9 Months,0
2,42.0,752,Entebbe MC,10,2 to 41 Months,0
3,43.0,781,Kira MC,16,1 to 44 Months,6
4,44.0,532,Luwero DLG,22,1 to 75 Months,0
5,45.0,772,Mukono MC,7,1 to 20 Months,0
6,46.0,779,Nansana MC,19,1 to 24 Months,0
7,47.0,590,Buvuma DLG,2,16 to 51 Months,0
8,48.0,780,Makindye Sabagabo MC,4,3 to 4 Months,0
9,49.0,544,Nakasongola DLG,13,60 to 277 Months,4
10,50.0,580,Lyantonde DLG,1,3 Months,3
11,51.0,551,SEMBABULE DLG,4,80 Months,4
12,52.0,515,KALANGALA DLG,1,3 Months,3
13,53.0,600,Bukomansimbi DLG,10,65 Months,0
14,54.0,621,Kyotera DLG,4,1 to 3 Months,0
15,55.0,599,Lwengo DLG,22,1-24 months,0
16,56.0,625,KassanDLG DLG,15,1-25 months,0
17,57.0,591,Gomba DLG,14,1-7 months,0
18,58.0,605,KIBUKU DLG,19,1 to 12 Months,0
19,59.0,617,NAMISIDWA DLG,11,1 to 12 Months,0
20,60.0,601,Mitooma DLG,7,1-14 months,0
21,61.0,562,Kiruhura DLG,5,0-1 month,0
22,62.0,558,IbanDLG DLG,8,2-7 months,0
23,63.0,560,Isingiro DLG,0,1- 8 months,1
24,64.0,512,Kabale DLG,36,1- 3 months,16
25,65.0,526,Kisoro DLG,7,1- 4 months,0
26,66.0,761,Mbarara MC,22,1 -10 months,0
27,67.0,537,Mbarara DLG,6,7-10 months,0
28,68.0,631,Rwampara DLG,15,0-1 month,0
29,69.0,778,Rukungiri DLG,1,0-1month,0
30,70.0,616,RubanDLG DLG,9,6-15 months,0
31,71.0,797,Kotido Mc,2,6 to 7 Months,0
32,72.0,604,Napak DLG,1,6 to 7 Months,0
33,73.0,573,Abim DLG,6,13 to14 Months,0
34,74.0,543,Nakapiripiriti DLG,5,7 to 24 Months,0
35,75.0,528,Kotido DLG,1,1 Months,0
