,Unnamed: 0,Unnamed: 1,LGs that complied,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,S.No,Vote No,Vote Name,Were estimates submitted?,Expected Date of Submission (dd/mm/yyyy),Actual Date of Submission (dd/mm/yyyy),Difference in days
1,1,556,Yumbe DLG,Yes,30/09/2019,16/06/2019,0
2,2,587,Zombo DLG,Yes,30/09/2019,16/06/2019,0
3,3,629,Obongi DLG,Yes,30/09/2019,30/09/2019,0
4,4,501,Adjumani DLG,Yes,30/09/2019,30/09/2019,0
5,5,628,Kikuube DLG,Yes,30/09/2019,30/09/2019,0
6,6,597,Kyankwanzi DLG,Yes,30/09/2019,30/09/2019,0
7,7,515,KALANGALA DLG,Yes,30/09/2019,30/09/2019,0
8,8,551,Sembabule DLG,Yes,30/09/2019,30/09/2019,0
9,9,630,Kazo DLG,Yes,30/09/2019,30/09/2019,0
10,10,546,Ntungamo DLG,Yes,30/09/2019,30/09/2019,0
11,11,562,Kiruhura DLG,Yes,30/09/2019,30/09/2019,0
12,12,506,Bushenyi DLG,Yes,30/09/2019,30/09/2019,0
13,13,512,Kabale DLG,Yes,30/09/2019,30/09/2019,0
14,14,761,Mbarara MC,Yes,30/09/2019,30/09/2019,0
15,15,609,Sheema DLG,Yes,30/09/2019,30/09/2019,0
16,16,616,Rubanda DLG,Yes,30/09/2019,30/09/2019,0
17, , ,LGs that delayed to submit, , , , 
18,S.No,Vote No,Vote Name,Were estimates submitted?,Expected Date of Submission (dd/mm/yyyy),Actual Date of Submission (dd/mm/yyyy),Difference in days
19,1,591,Gomba DLG,Yes,30/09/2019,27/11/2020,424
20,2,584,Kyegegwa DLG,Yes,30/09/2019,20/11/2020,417
21,3,502,Apac DLG,Yes,30/09/2019,11/11/2020,408
22,4,600,Bukomansimbi DLG,Yes,30/09/2019,25/09/2020,361
23,5,773,Iganga MC,Yes,30/09/2019,26/08/2020,331
24,6,537,Mbarara DLG,Yes,30/09/2019,18/02/2020,141
25,7,508,Gulu DLG,Yes,30/09/2019,14/01/2020,106
26,8,797,Kotido Mc,Yes,30/09/2019,19/12/2019,80
27,9,590,Buvuma DLG,Yes,30/09/2019,16/12/2019,77
