,50,Jinja DLG,"6,827,859,290","6,822,889,275",-,"654,362",-.1,-.2,"166,250","195,000",-.3,"2,966,905"
0,51.0,Jinja MC,"2,897,005,141","2,854,154,010",-,"10,329,664",-,"13,158,559","1,162,776",-,-,"20,525,684"
1,52.0,Kaliro DLG,"4,590,709,134","4,584,040,569",-,"951,653",-,"3,171,057",-,"2,450,725",-,"95,130"
2,53.0,Kamuli DLG,"7,280,152,088","7,204,167,142",-,"23,465,532",-,"24,208,280",-,"29,562,678","2,758,277","1,506,733"
3,54.0,Kamuli MC,"1,083,083,921","1,054,349,942",-,"23,833,981",-,"6,248,839","992,633",-,"399,911","43,703"
4,55.0,Lugazi MC,"882,203,736","849,414,248",-,"21,048,138",-,"14,438,885","1,080,000",-,"1,617,535",-
5,56.0,Luuka DLG,"4,164,587,517","3,844,988,248",-,"177,880,391",-,"135,115,542",-,"100,000",-,"6,503,336"
6,57.0,Mayuge DLG,"6,327,483,846","6,282,163,732",-,"35,227,599",-,"5,041,015",-,"5,051,500",-,-
7,58.0,Namayingo DLG,"3,642,716,875","3,642,885,761", ,"2,489,948","2,555,517", ,"139,377", ,"36,064", 
8,59.0,Namutumba DLG,"2,897,005,141","2,854,154,010",-,"10,329,664",-,"13,158,559","1,162,776",-,-,"20,525,684"
9,60.0,Buliisa DLG,"1,892,970,598","1,674,118,009",-,"174,289,434",-,"54,145,170","12,067,016",-,-,"2,485,001"
10,61.0,Hoima DLG,"2,471,668,836","2,443,823,173",-,"23,667,294",-,"3,288,536",-,"775,859",-,"113,974"
11,62.0,Hoima MC,"1,377,634,940","1,376,098,225",-,"1,108,911",-,-,-,"170,000",-,"257,804"
12,63.0,Kagadi DLG,"4,782,208,391","4,746,689,371",-,"12,073,020",-,"22,492,678",-,"26,698",-,"926,624"
13,64.0,Kakumiro DLG,"2,297,582,475","2,151,274,028", ,"144,452,722", ,"1,698,709", ,"142,500", ,"14,516"
14,65.0,Kiboga DLG,"3,447,223,680","3,481,780,014","43,257,429",-,-,"8,138,058",-,"337,500",-,"225,537"
15,66.0,Kikuube DLG,"2,379,573,116","2,359,698,800",-,"18,884,041","2,117,676",-,-,"2,973,999",-,"133,952"
16,67.0,Kyankwanzi DLG,"3,409,744,904","3,407,620,085",-,"5,328,273","3,336,794",-,-,"133,340",-,-
17,68.0,Masindi DLG,"3,312,092,285","3,309,501,072","8,615,537",-,-,"7,310,155",-,"484,606","85,117","3,497,106"
18,69.0,Masindi MC,"1,427,190,853","1,149,993,408",-,"276,802,469",-,"116,792","3,040,195",-,-,"3,318,379"
19,70.0,Kamwenge DLG,"3,510,818,562","3,503,814,257", ,"6,272,531", ,"77,500", ,"278,337", ,"375,937"
20,71.0,Kabarole DLG,"3,451,673,623","3,420,876,773", ,"19,765,289", ,"10,711,627", ,"102,116", ,"217,818"
21,72.0,Ntoroko DLG,"1,360,255,955","1,302,137,851", ,"58,118,104", , , , , , 
22,73.0,Kasese DLG,"12,714,501,814","12,566,749,705", ,"97,086,119","14,831,211", , ,"65,523,500","26,299", 
23,74.0,Fort Portal MC,"1,452,556,838","1,520,660,114","55,514,578", ,"12,984,529", , ,"285,000", ,"110,831"
24,75.0,Bundibugyo DLG,"6,339,852,730","6,338,748,718", , , , , , , ,"1,104,012"
25,76.0,Kyenjojo DLG,"5,110,620,098","5,104,595,015", ,"1,833,381", ,"1,895,554", , , , 
26,77.0,Moyo DLG,"2,467,253,134","2,499,884,543","25,841,643",-,-,"220,658","7,309,750",-,"519,984",-
27,78.0,Nebbi DLG,"4,339,048,878","4,333,222,745","4,849,344",-,-,"832,714",-,"9,837,500", ,"5,263"
28,79.0,Arua MC,"1,510,024,063","1,502,519,098", ,"5,479,439", ,"1,031,662", ,"993,864", , 
29,80.0,Koboko DLG,"2,007,415,658","1,866,468,850", ,"81,187,336", ,"55,549,712", ,"4,162,148", ,"47,612"
30,81.0,Yumbe DLG,"4,904,248,620","4,898,616,110", ,"1,441,326", ,"2,826,184", ,"1,365,000", , 
31,82.0,Zombo DLG,"3,328,551,409","3,319,064,736", ,"3,070,882", ,"5,339,982", ,"1,024,909", ,"50,900"
32,83.0,Madi-Okollo DLG,"1,901,582,442","1,868,292,549", ,"60,384,608","21,988,265", ,"6,866,250", , ,"1,759,800"
33,84.0,Nebbi MC,"722,140,725","703,333,159", ,"2,610,668", ,"15,346,717", ,"65,000", ,"850,181"
34,85.0,Apac DLG,"1,461,588,003","2,357,026,039","472,266,424",0,"409,794,230",0,"362,500",0,"23,656,788","10,641,906"
35, ,Total,"266,011,371,043","262,020,404,735","1,395,178,284","5,759,993,933","1,330,495,225","1,148,883,085","268,852,161","204,657,064","73,330,402","226,441,138"
