,Acronym,Meaning
0,BC/DR,Business Continuity/Disaster Recovery Plan
1,BCs,Building Committees
2,BEC,Budget Execution Circular
3,BIMS,Buildings Information Management System
4,Bn,Billion
5,GoU,Government of Uganda
6,HR,Human Resource
7,ICT,Information & Communication Technology
8,IFMS,Integrated Financial Management Information System
9,INTOSAI,International Organization of Supreme Audit Institutions
10,ISSAIs,International Standards of Supreme Audit Institutions
11,MDAs,"Ministries, Departments and Agencies"
12,MoFPED,"Ministry of Finance, Planning and Economic Development"
13,MoWT,Ministry of Works and Transport
14,NAA,National Audit Act
15,NDP,National Development Plan
16,NITA-U,National Information Technology Authority of Uganda
17,NTR,Non-Tax Revenue
18,OAG,Office of the Auditor General
19,PBS,Program Budgeting System
20,PDU,Procurement & Disposal Unit
21,PFMA,Public Finance Management Act
22,PPDA,Public Procurement & Disposal of Public Assets
23,PS/ST,Permanent Secretary / Secretary to the Treasury
24,PWDs,Persons With Disabilities
25,TI,Treasury Instructions
26,UCF,Uganda Consolidated Fund
27,UGX,Uganda Shilling
