,Acronym,Meaning
0,CDC,Centre for Disease Control
1,FY,Financial Year
2,GAVI,Global Alliance for Vaccines and Immunization
3,HCMS,Human Capital Management System
4,HR,Human Resource
5,IFMS,Integrated Financial Management System
6,INTOSAI,International Organization of Supreme Audit Institutions
7,IPPS,Integrated Payroll Personnel System
8,ISSAIs,International Standards of Supreme Audit Institutions
9,LST,Local Service Tax
10,MDAs,"Ministries, Departments and Agencies"
11,MoFPED,"Ministry of Finance, Planning and Economic Development"
12,MoPS,Ministry of Public Service
13,MTEF,Medium Term Expenditure Framework
14,NSSF,National Social Security Fund
15,NTR,Non-Tax Revenue
16,OAG,Office of the Auditor General
17,PAYE,Pay As You Earn
18,PBS,Program Budgeting System
19,PCA,Payroll Consults Africa
20,PDMS,Payroll Deduction Management System
21,PFMA,Public Finance Management Act
22,PFMR,Public Finance Management Regulations
23,PSST,Permanent Secretary/ Secretary to Treasury
24,RRH,Regional Referral Hospital
25,UCLA/UBA,Uganda Consumer Lenders’ Association/ Uganda Bankers Association
26,UGX,Uganda Shillings
27,UNICEF,United Nation International Children’s Emergency Fund
28,VAT,Value Added Tax
29,WHT,Withholding Tax
