,S/No. 1,Project Category USMID Road Projects,Item,Items for Comparison,Units
0, , ,Item 1 Precast concrete Class 30 barrier kerbs m, , 
1, , ,Item 2 Clearing and Grubbing ha, , 
2, , ,Item 3 CRR for Road Base m 3, , 
3, , ,Item 4 Asphalt Concrete for Surfacing m 3, , 
4, , ,"Item 5 White lines, broken or unbroken m", , 
5,"Item 1 Roofing Sheets (gauge 28) Item 2 Internal Plaster Item 3 230mm walling Item 4 Roofing Timber 100×50mm Item 5 Reinforced Concrete m 2 m 2 m 2 m m 3 2 USMID Building Projects, & SFG/ DDEG/TDG building projects", , , , 
6, , , , , 
7, , , , , 
8, , , , , 
9, , , , , 
10,Item 1 600mm diameter concrete culverts Item 2 Chippings/ aggregates Item 3 Fuel Item 4 Gravel Item 5 Cement m m 3 Ltr m 3 Bag 3 URF (Force Account), , , , 
11, , , , , 
12, , , , , 
13, , , , , 
14, , , , , 
15,Item 1 600mm culverts Item 2 Concrete for drains Item 3 Prime Coat Item 4 Item 5 Gravel for sub-base First Seal Coat m m 3 Ltr m 2 m 3 4 URF (Contracted), , , , 
16, , , , , 
17, , , , , 
18, , , , , 
19, , , , , 
