,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Cause,Unnamed: 8,Unnamed: 9,Implication,Unnamed: 11,Recommendations
0,i meliness in payment (Contractor), , , , , , , , , , , , 
1,Ser.,IPC, ,DATE,DATE PAYMENT, ,PAYMENT, ,Remarks, , , , 
2,No.,No., ,CERTIFIED,PAID ABOVE, ,DURATION, , , , , , 
3, , , ,BY PM CERTIFIED, , ,(post, , , , , , 
4, , , , , , ,certification), , , , , , 
5, , , , , , ,(Days), , , , , , 
6,"5 IPC 4 29-Jun-18 19-Oct-18 0 112 By the time of the previous audit , the IPC No.4 was already certified but not yet paid; ultimately it delayed by 112 days", , , , , , , , , , , , 
7,6 IPC 5 13-Aug-18 19-Oct-18 0 67 Payment delayed by 67 days, , , , , , , , , , , , 
8,7 IPC 6 13-Sep-18 19-Oct-18 0 36 Payment delayed by 36 days, , , , , , , , , , , , 
9,8 IPC 7 8-Dec-18 19-Dec-18 0 11 Payment delayed by 11 days, , , , , , , , , , , , 
10,9 Final Certificate 4-Jun-20, , , ,76 Last 50% of retention money certified on 04th June 2020 was already, , , , , , , , 
11, , , , ,delayed by 40 days at the time of completing audit on 19th August 2020, , , , , , , , 
12, , , , , , , , , , , , , 
13,i meliness in payments (Consultant), , , , , , , , , , , , 
14,Fee Note, ,DATE DATE, , ,DATE PAYMENT, , , ,PAYMENT, ,Remarks, 
15,No., ,SUBMITTED CERTIFIED, , ,PAID ABOVE, , , ,DURATION, , , 
16, , ,BY UB BY AMC CERTIFIED, , , , , , ,(post, , , 
17, , , , , , , , , ,submission), , , 
18, , , , , , , , , ,(Days), , , 
19,4 12-Sep-18 25-Sep-18 24-Oct-18 0 42 Payment delayed by 12 days, , , , , , , , , , , , 
20,5 7-Dec-18 12-Dec-18 19-Dec-18 0 12 Paid timely, , , , , , , , , , , , 
21,Response true and this was because Gulu was being upgraded from tier II (dynamics) to Tier I (oracles) and it’s planning from Output Budgeting Tool (OBT) to Programme Budgeting System (PBS) that caused the delay in up-load of our budget hence delayed payments but now we have overcome that and payments being effected as required. remarks audit notes the cause of the delays in payments. Management Auditor’s, , , , , , , , , , , , 
