,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Cause,Unnamed: 5,Implication,Unnamed: 7,Unnamed: 8,Recommendation,Unnamed: 10,Unnamed: 11
0,In-situ Tests Equipment /Tools Projects Structure or Layer Tested Specification Comment Access Ramp Access Ramp Access Ramp Access Ramp Drainage Drainage Drainage Drainage Slab Cover Slab Cover Slab Cover Auditors Result 22.0 26.0 27.0 25.0 25.0 28.0 19.0 20.0 28.0 19.0 20.0 20 20 20 20 20 20 20 20 20 20 20 Passed Passed Passed Passed Passed Passed Failed Passed Passed Failed Passed Concrete compressive strength Schmidt Hammer Renovation of Sacred Hearts SSS Dormitory (SFG), , , , , , , , , , , 
1, , , , , , , , , , , , 
2, , , , , , , , , , , , 
3, , , , , , , , , , , , 
4, , , , , , , , , , , , 
5, , , , , , , , , , , , 
6, , , , , , , , , , , , 
7, , , , , , , , , , , , 
8, , , , , , , , , , , , 
9, , , , , , , , , , , , 
10, , , , , , , , , , , , 
11, , , , , , , , , , , , 
12, , , , , , , , , , , , 
13, , , , , , , , , , , , 
14,Response This work was just a renovation of already an existing structure of which our work added strength to the building hence will last longer. The major component of the work was to change the leaking roof of the two dormitories with better ones. Attached are the photographs. Management, , , , , , , , , , , 
15,Auditor’s remarks The components checked by audit were part of drainage that was within the scope., , , , , , , , , , , 
16,(iv) Physical inspection to ascertain presence of defects The completed works were inspected on 16 th August 2020 in the presence of a staff from Gulu Municipal Council Engineer’s. The following minor defects were observed;, , , , , , , , , , , 
