,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Cause,Unnamed: 5,Unnamed: 6,Implication,Unnamed: 8,Recommendations,Unnamed: 10
0, , , , , , , , , , , 
1,Item,Unit,Rate (UGX),Payment quantity, ,Audit quantity,Difference between Audit & Paid, ,Amount Over Paid, ,Remarks
2, , , , , , ,Quantities, , , , 
3,"Gauge 28 roof covering fixed with rubber washers fixed to purlins m 2 32,000 178 173 5 160,000", , , , , , , , , , 
4,"Ditto but ridges m 20,000 20 17.30 2.7 54,000", , , , , , , , , , 
5,"15mm thick cement sand mix 1:4 but rough casting at 2m high at gable end and 1.2m high at rear view m 2 4,000 71 61 10 40,000", , , , , , , , , , 
6,"Weather guard emulsion paint to external wall m 2 8,000 105 86 19 152,000", , , , , , , , , , 
7,"50*100mm rafters m 10,000 21 4.8 16.2 162,000", , , , , , , , , , 
8,"50*75mm purlins m 10,000 21 11.6 9.4 94,000", , , , , , , , , , 
9,"25*225mm fascia and barge board m 22,000 28 10.60 17.4 382,800", , , , , , , , , , 
10,"Gauge 28 roof covering fixed with rubber washers fixed to purlins m 2 45,000 19.2 6.96 12.34 555,300", , , , , , , , , , 
11,"15mm thick cement sand mix 1:4but roughcasting using both green and black oxide m 2 8,000 16.8 16.67 0.13 1,040", , , , , , , , , , 
12,"Weather guard rafenso global paint to external wall m 2 8,000 16.8 16.02 0.78 6,240", , , , , , , , , , 
13,"Total sum overpaid Total Payment (Final Contract Amount): % percentage overpayments 1,607,380 90,071,000 1.7%", , , , , , , , , , 
14, , , , , , , , , , , 
15, , , , , , , , , , , 
16,"Upon our verifications, we noted that there is no over payments made to the contractor. Attached are our documents for verification. Auditor’s Remarks evidence availed for verification. Management Response", , , , , , , , , , 
17,Timeliness in Payments Works Contract provided that the Employer shall pay Poor documents/ records management The municipality cannot give full accountability for the funds The municipality should improve on document management and avail all, , , , , , , , , , 
