,Project Name,Construction of 2-unit Teacher’s house & flush toilet at Christ Church p/s
0,Project Reference Number,Gulu754/wrks/2018-2019/00003
1,Client,Gulu Municipal Council
2,Funding,SFG
3,Contract Supervisor,Assistant Municipal Engineer
4,Works contractor,Stanhope construction and general Merchandise
5,Date of contract award,28/01/2019
6,Contract sign date,05/02/2019
7,Commencement date,15/02/2019
8,Contract duration,4 months
9,Expected Completion date,30/06/2019
10,Contract Sum,"UGX 90,071,000"
11,% progress reported,100% Complete
