,Finding,Unnamed: 1,Unnamed: 2,Cause,Unnamed: 4,Unnamed: 5,Implication,Unnamed: 7,Unnamed: 8,Recommendations,Unnamed: 10
0,Item Checked Unit, ,Rate (UGX), ,Payment quantity,Audit Quantity, ,Difference between Audit & Paid,Amount Over Paid Remarks, , 
1, , , , , , , ,Quantities, , , 
2,"25*225mm fascia and barge board no. 26,000 98 87 11 286,000 Over payment", , , , , , , , , , 
3,"Gauge 28 fixed to purlin m 2 27,000 1560 1388 172 4,644,000 Over payment", , , , , , , , , , 
4,"Prepare walkway by hacking using manual hoe and levelling to gentle slope to receive murram m 2 2,000 517 409 108 216,000 Over payment", , , , , , , , , , 
5,"Labour for laying pavers m 2 6,000 517 409 108 648,000 Over payment", , , , , , , , , , 
6,"Total Overpayment: 5,794,000 Total Payment (Final Contract Amount): 219,944,910 % Overpayment: 2.63% Management response is true that our scope of work covered the following areas; roofing with 28 gauge corrugated iron sheets, replacing part of the roofing timbers of 4x2 numbering to 171 pieces, levelling, putting murram and paving of the walk ways, casting in-situ concrete drain of 600mm, general painting of both interior and exterior walls, repair of floor areas of one cubical in city dormitory and fixed new mosquito nets in the ventilators as per the attached bill of quantities here attached for audit verification. While the scope mentioned by the audit team to include walling and interior plastering of wall of 230mm and reinforced concretes were not part of the contracts. When we verified, we discovered that there is no over payment and our vouchers are here attached for audit verification.", , , , , , , , , , 
7, , , , , , , , , , , 
8, , , , , , , , , , , 
9, , , , , , , , , , , 
10,Auditor’s remarks overpayment was derived from components that were within the project scope. The municipality did not provide evidence to show otherwise., , , , , , , , , , 
11,Timeliness in Payments 43.1 clearly stated that payment to the contractor was to be effected thirty (30) days after certification of works. Review of the payment documents to the contractor indicated that payments were made in time as shown in the table in b(ii) above. N/A OK OK, , , , , , , , , , 
