,"Table 5: Extent of achievement of 2016/2017-2020/2021 strategic plan No Level of performance by the end of 2019/2020 No of strategic goals/ objectives % of total number of strategic objectives 1 2 3 Fully achieved Partially achieved Not achieved Total 0 05 0 05 100 0 0 100 Accounting Officer explained that the underperformance was due to the business community perception about railway transport which is worsened by the poor state of the Meter Gauge rail network, rampant vandalism of rail-slippers which result into delayed deliveries, train accidents, high levels of obsolete and dilapidated machinery and buildings respectively that are not generating revenue. addition, the COVID-19 pandemic lock downs halted the passenger city service train for over 8 months (March– November 2020). The overall effect was low internally generated revenue. The trend was worsened by the failure to timely absorb the meagre Central Government support to URC. These combined led to low revenue realization which continued to impair the Corporation’s ability to meet its differed maintenance projection of its assets so as to raise enough revenue to fully support its operations. The In",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0, , , , , , , , 
1, , , , , , , , 
2, , , , , , , , 
3, , , , , , , , 
4, , , , , , , , 
5, , , , , , , , 
6,"5.2 Revenue Performance of NTR reviewed the NTR estimates, revenue sources and rates charged at the entity for the financial year 2019/2020 and noted that the entity budgeted to collect NTR of UGX.100.38BN during the year under review. Out of this, only UGX. 14.8 Bn was collected, representing a performance of 14.7% of the target. of GoU receipts entity budgeted to receive UGX.53.5 Bn out of which a total of UGX.7.8 Bn was warranted, resulting in a shortfall of UGX. 45.7 Bn which is 85% of the budget. Revenue shortfalls affect the implementation of planned activities. Accounting Officer explained that the underperformance was due to accidents caused by the poor state of the meter-gauge railway line in both Kenya and Uganda which costed the Corporation an estimated USD.700,000 in revenue and the Covid 19 pandemic which led to a lockdown between Mid-March to early November 2020. This paralyzed transport further contributing to about 38,000 MT in lost revenue, and; encroachment/theft of assets, among others. I Performance Performance The The", , , , , , ,KRC advised the Accounting Officer to continue liaising with in undertaking preventive maintenance on the rail and increase the security of URC assets to curb theft and encroachment. also advised the Accounting officer to engage GOU (MoFPED) for increased funding. I I
7, , , , , , , , 
8, , , , , , , , 
9, , , , , , , , 
10,"14.1.16 of the URC Financial Accounts Manual, 2007 provides that activities not catered for in the budget shall require a special approval by the Management Committee and the Board. of the total receipts for the financial year of UGX.22.99 Bn, UGX.34.94 5.3 Absorption of funds Paragraph Out", , , , , , ,I advised the Accounting Officer to adhere to the budget provisions and deliver planned outputs as planned.
11, , , , , , , , 
