,No,Funding Source/Year,2021/2022,Unnamed: 3,Unnamed: 4,Unnamed: 5,2020/2021,Unnamed: 7,Unnamed: 8,Unnamed: 9
0, , ,Bud (Tn),Act (Tn),Var. (Tn),% Per,Bud (Tn),Act (Tn),Var. (Tn),% Per
1,1,Domestic Resources, , , , , , , , 
2,i,Taxes,20.84,20.35,0.49,2.35,20.22,18.25,1.97,90.1
3,ii,Non Tax Revenue,1.59,1.93,(0.34),(21.38),1.81,1.65,0.16,91.2
4,iii,Petroleum Fund,0.2,0.2,0,0.00,0,0,0,0
5,iv,Domestic Financing,5.50,5.23,0.27,4.91,6.79,6.79,0,100
6,2,External Resources, , , , , , , , 
7,2.1,Budget Support, , , , , , , , 
8,i,Grants,0.075,0.098,(0.023),(30.67),0.133,0.062,0.071,46.6
9,ii,Loans,3.51,2.45,1.06,30.20,2.77,3.13,(0.36),113
10,2.2,Project Support, , , , , , , , 
11,i,Grants,1.35,1.24,0.11,8.15,1.59,1.03,0.56,64.8
12,ii,Loans,5.52,5.06,0.46,8.33,7.93,6.82,1.11,86.1
13,2.3,Domestic refinancing,8.38,7.66,0.72,8.59,7.49,7.42,0.07,99.1
14,2.4,Local revenue,0.21,0.21,0,100,0,0,0,0
15, ,Grand Total,47.18,44.43,2.75,94,48.733,45.152,3.57,93
