,No.,Entity Name,Status of Approval,No..1,Entity Name.1,Status of Approval.1,No..2,Entity Name.2,Status of Approval.2
0,1,Adjumani DLG,Approved,58,Nakasongola DLG,Approved,114,Kasese MC,Not approved
1,2,Agago DLG,Approved,59,Nansana MC,Approved,115,Kassanda DLG,Not approved
2,3,Alebetong DLG,Approved,60,Napal DLG DLG,Approved,116,Kiboga DLG,Not approved
3,4,Amuru DLG,Approved,61,Nebbi DLG,Approved,117,Kibuku DLG,Not approved
4,5,Arua DLG,Approved,62,Ngora DLG,Approved,118,Kikuube DLG,Not approved
5,6,Budaka DLG,Approved,63,Ntugamo MC,Approved,119,Kiruhura DLG,Not approved
6,7,Bugiri DLG,Approved,64,Obongi DLG,Approved,120,Kisoro DLG,Not approved
7,8,Buikwe DLG,Approved,65,Otuke DLG,Approved,121,Kitagwenda DLG,Not approved
8,9,Bukomansimbi DLG,Approved,66,Pakwach DLG,Approved,122,Kitgum DLG,Not approved
9,10,Buliisa DLG,Approved,67,Rakai DLG,Approved,123,Koboko MC,Not approved
10,11,Bushenyi- Ishaka MC,Approved,68,Rubanda DLG,Approved,124,Kole DLG,Not approved
11,12,Busia MC,Approved,69,Rukiga DLG,Approved,125,Kumi DLG,Not approved
12,13,Busia DLG,Approved,70,Rukungiri DLG,Approved,126,Kwania DLG,Not approved
13,14,Butaleja DLG,Approved,71,Rwampara DLG,Approved,127,Kween DLG,Not approved
14,15,Dokolo DLG,Approved,72,Sembabule DLG,Approved,128,Kyankwanzi DLG,Not approved
15,16,Entebbe MC,Approved,73,Serere DLG,Approved,129,Kyegegwa DLG,Not approved
16,17,Gulu City,Approved,74,Sheema MC,Approved,130,kyenjojo DLG,Not approved
17,18,Gulu DLG,Approved,75,Terego DLG,Approved,131,Lamwo DLG,Not approved
18,19,Hoima DLG,Approved,76,Tororo DLG,Approved,132,Lira DLG,Not approved
19,20,Ibanda DLG,Approved,77,Yumbe DLG,Approved,133,Luuka DLG,Not approved
20,21,Ibanda MC,Approved,78,Zombo DLG,Approved,134,Lyantonde DLG,Not approved
21,22,Iganga DLG,Approved,79,Omoro DLG,Approved,135,Madi Okollo DLG,Not approved
22,23,Isingiro DLG,Approved,80,Bududa DLG,Approved,136,Makindye- Ssabagabo MC,Not approved
23,24,Jinja City,Approved,81,Amolatar DLG,Not approved,137,Masindi MC,Not approved
24,25,Jinja DLG,Approved,82,Amudat DLG,Not approved,138,Masindi DLG,Not approved
25,26,Kagadi DLG,Approved,83,Amuria DLG,Not approved,139,Mbale DLG,Not approved
26,27,Kakumiro DLG,Approved,84,Apac DLG,Not approved,140,Mbale City City,Not approved
27,28,Kaliro DLG,Approved,85,Arua City,Not approved,141,Mbarara City,Not approved
28,29,Kamuli DLG,Approved,86,Bugiri MC,Not approved,142,Mitooma DLG,Not approved
29,30,Kapchorwa MC,Approved,87,Bugweri DLG,Not approved,143,Mityana MC,Not approved
30,31,Kapelebyong DLG,Approved,88,Buhweju DLG,Not approved,144,Moroto DLG DLG,Not approved
31,32,Kasese DLG,Approved,89,Bukedea DLG,Not approved,145,Moroto MC MC,Not approved
32,33,Katakwi DLG,Approved,90,Bukwo DLG,Not approved,146,Mukono DLG,Not approved
