,BCC,Budget Call Circular
0,BFP,Budget Framework Paper
1,BMAU,Budget Monitoring Unit
2,Bn,Billion
3,CoC,Certificate of Compliance
4,GAPR,Government Annual Performance Report
5,LG,Local Government
6,LLG,Lower Local Government
7,MALG,"Ministries, Agencies and Local Governments"
8,MDAs,"Ministries , Departments and Agencies"
9,MoFPED,Ministry of Finance Planning and Economic Development
10,MoH,Ministry of Health
11,NDP,National Development Plan
12,NPA,National Planning Authority
13,OPM,Office of the Prime Minister
14,PBS,Programme Based Budgeting System
15,PFMA,Public Finance Management Act
16,PFMR,Public Finance Management Regulations
17,Ps,Permanent Secretary
18,Tn,Trillion
19,UCF,Uganda Consolidated Fund
