,S/No.,Account Title,Bank,Type of Account,Account No.
0,1.0,Debtors accounts collection,Standard Chartered Bank,Dollar Account,8705611826500
1,2.0,Collection account,Stanbic Bank,UGX Account,9030005648296
2,3.0,Collection account,Stanbic Bank,Dollar Account,9030008017467
3,4.0,Collection account,Orient Bank,Dollar Account,10535802020507
4,5.0,Collection account,Orient Bank,UGX Account,10535802010107
5,6.0,Operational accounts,Stanbic Bank Entebbe,Dollar Account,9030008066190
6,7.0,Operational accounts,Stanbic Kampala Bank,Pound Account,9030008662966
7,8.0,Operational accounts,Citi Bank,UGX Account,100363001
8,9.0,Operational accounts,Stanbic Entebbe Bank,UGX Account,9030005968193
9,10.0,Loan account,Stanbic CAA Escrow,Dollar Account,90300012656229
10,11.0,Loan account,Stanbic CAA Escrow,UGX Account,9030012448170
