,This practice is not only in contravention of the circular instructions but also hinders efforts of timely monitoring of the implementation of the budget. The Accounting Officer acknowledged the anomaly but explained that the quarterly monitoring of Government programmes was executed.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,"Submission 8 of Quarterly Performance Reports Paragraph 55 of the BEC for the financial year 2019/2020 states that the Accounting Officer is required to submit quarterly performance reports by the 30 th day of the first month of the following quarter. 1.8 noted that the entity submitted performance reports for Q1, Q2, Q3, Q4 after the deadline given for submission of the reports as indicated in the table below No Details 1 2 3 4 Quarter One Quarter Two Quarter Three Quarter Four Source: OAG analysis Deadline for submission 31/10/2019 31/01/2020 30/04/2020 31/07/2020 Actual date of submission 10/12/2019 01/02/2020 25/05/2020 Not submitted. yet Comment Delayed Delayed Delayed Delayed to submit performance reports in time not only contravenes the budget circular instructions, but also negatively affects the timely evaluation of performance and decision making. Accounting Officer explained that the delayed submission of performance reports was due to the upgrading the PBS which erased data that was input twice and the district experiencing system breakdown in the months of April to mid-June 2020 that contributed to the delay of the department to extract data to be used for reporting. I Failure The", , , , , , , ,advised the Accounting Officer to always engage the PBS support of MOFPED timely resolution of system challenges. desk for I
1, , , , , , , , , 
2, , , , , , , , , 
3, , , , , , , , , 
4, , , , , , , , , 
5, , , , , , , , , 
6, , , , , , , , , 
7, , , , , , , , , 
8,"1.9 Accuracy 9 of Performance reports submitted Paragraph 55 of the budget execution circular for the financial year 2019/2020 states that the Accounting Officer is required to submit quarterly performance reports by the 30 th day of the first month of the following quarter. These reports should clearly indicate the actual performance against the planned outputs and performance for each quarter, showing the quantity/quality and physical location of the reported outputs against expenditure. accuracy of performance could not be verified as the 4 th quarter performance report was not clear. Accounting officer explained that this was due to the delay in the approval of the fourth quarter report by the Budget Directorate at Ministry of Finance, Planning and Economic Development. The The", , , , , , , ,I advised the Accounting Officer to always ensure that the performance reports are clear and accurate.
9, , , , , , , , , 
