,6,Cooking Oil-Litre,Liters,"1,834",874,"7,000","12,838,000"
0,7,Table salt -500g,Kgs,"2,109","2,109",600,"1,265,400"
1,8,Baking Flour-Kg,Kgs,228,228,"5,000","1,140,000"
2,9,Baking Powder-carton,Ctns,4,4,500,"2,000"
3,10,Eggs-1 piece,Pcs,192,192,"9,000","1,728,000"
4,11,Silver Fish-Lacede-small fish-kg,Pcs,115,115,"3,000","345,000"
5,12,Sugar,Kgs,"3,182","3,182","4,000","12,728,000"
6,B,DISINFECTANTS, , , , ,0
7,1,Laundry Bar Soaps-Blue (600-800g),1,"10,315","9,115","2,000","20,630,000"
8,2,liquid soap in liters,Jerrycans,416,354,"14,219","5,915,200"
9,3,Alcohol-based Hand Sanitizer-20litres,Ltrs,14,10,"122,000","1,708,000"
10,4,Alcohol-based Hand Sanitizer- bottles,Bottles,641,613,"14,000","8,974,000"
11,5,Bathing Soap-Skin Guard- 55g,Cartons,2,2,"2,000","4,000"
12,6,Alcohol Swaps/Pads- 100piece,Piece,40,40,"3,500","140,000"
13,7,Dettol Liquid Soap-250 ml,250ml,4,4,"2,000","8,000"
14,8,Hand Wash-moisturizer with Dispenser,500 ml,50,6,"2,000","100,000"
15,9,Disinfectant-no description -Liters,Ltrs,140,125,"20,000","2,800,000"
16,10,Sodium Hypochlorite 3.5% Sltion,750 ml,666,666,"10,000","6,660,000"
17,11,Sodium 3.5% Hypochlorite,250 ml,108,108,"5,500","594,000"
18,12,Sodium Hypochlorite 6% Solution,5ltrs,19,19,"65,000","1,235,000"
19,C,MEDICAL EQUIPMENTS, , , , ,0
20,1,Infrared Digital Thermometer-,Pcs,52,47,"650,000","33,800,000"
21,2,Hand washing With Stands And Cans Facility,Set,518,417,"35,000","18,130,000"
22,3,SAMPLE Carriers,Pcs,12,6,"55,000","660,000"
23,4,Bottle Sprayer-1 Liter,Pcs,210,208,"6,000","1,260,000"
24,5,Small Radio-Leotec,Pcs,350,350,"20,000","7,000,000"
25,6,Basin-20ltr,Pcs,50,50,"5,000","250,000"
26,7,Jerry Can-5litres,Pcs,"1,007","1,007","8,000","8,056,000"
27,8,Bathing Bucket Plastic-10 Liters,Pcs,20,20,"5,000","100,000"
28,9,Sprayer-Manuel -16 Liters,Pcs,4,4,"45,000","180,000"
29,10,Dust Bin 240'950 Ltr),Pcs,10,4,"14,000","140,000"
30,11,Sharp 8ts (7.24) Container-Plastic,Pcs,7,-,"5,000","35,000"
31,12,Mega Phones,Pcs,44,44,"75,000","3,300,000"
32,D,Personal Equipments Protective, , , , ,0
33,1,Inspection Piece Glove-100,Pcs,600,47,"1,000","600,000"
34,2,Safety Goggle,Pcs,"1,007",769,"10,000","10,070,000"
35,3,Aprons Disposables,Pcs,827,455,"5,000","4,135,000"
