,4,Face Shield-Disposable Protective,Pcs,"1,048",76,"5,000","5,240,000"
0,5,Surgical Glove-Latex 7 1/2 =100 Pieces,Pcs,25,25,"140,000","3,500,000"
1,6,Examination Gloves- Medium,Pcs,356,287,"2,000","712,000"
2,7,Heavy Duty Gloves-1 Pair,Pcs,50,15,"5,200","260,000"
3,8,Surgical Masks,Pcs,"57,530","56,500",500,"28,765,000"
4,9,Respirator N95,Pcs,570,490,"2,200","1,254,000"
5,10,Face Mask Ffp 1piece,Pcs,200,200,"2,200","440,000"
6,11,Cloth Masks-Ug,Pcs,"259,493","252,113","1,000","259,493,000"
7,12,Theatre Gown-Disposable 1 Piece,Pcs,182,167,"20,000","3,640,000"
8,13,Coverall-Disposable Piece 1,Pcs,247,37,"20,000","4,940,000"
9,15,Suit Re-Usable - 1 Pices,Pcs,40,40,"20,000","800,000"
10,16,Ebola Pvc Boots-1 Pair,Pcs,52,29,"4,000","208,000"
11,E,Bedding Materials,Pcs, , , ,0
12,1,Blanket 4'x 6' 1 Piece,Pcs,60,60, ,"2,100,000"
13,2,Bed Sheet 4'x 6' 1 Piece,Pcs,80,80,"20,000","1,600,000"
14,3,Mattress 3 and 4 Inch,Pcs,140,140,"85,000","11,900,000"
15,4,Motorcycle -Honda Dt,No,2,2,"11,000,000","22,000,000"
16,5,Fuel,Ltrs,"1,437.84", ,"3,700","5,320,000"
17, ,TOTAL, , , , ,"983,947,000"
