No Observations Recommendations;;
1.0;Existence of Strategic plans that are aligned to NDP-III Paragraph 5 of the budget execution circular for the financial;I advised the
;;Accounting Officers to
;year 2020/2021 cites poor alignment of Government Budgets;follow up the matter
;with the National Development Plans. The PS/ST urged;with NPA and ensure
;Accounting Officers to ensure that all activities for Financial;that the entities have
;Year 2020/2021 are aligned with NDP III and implemented;strategic plans that are
;accordingly. Regulation 26 (1) of the National Planning;aligned to NDP-III and
;Authority (development of Plans) regulations require entities;certified by NPA.
;to submit to NPA their five-year development plans for;
;certification before approval.;
;;
;This being the first year of implementation of the NDP-III,;
;LGs were expected to prepare a strategic plan aligned to;
;NDP III and ensure that these plans are certified by NPA.;
;These plans would then be the basis for preparation of the;
;entity annual plans.;
;;
;From the procedures undertaken I noted that out of 86;
;entities sampled, none had prepared a strategic plan that;
;was aligned to NDP-III and certified by NPA. There is a risk;
;that activities implemented by these entities during the;
;financial year 2020/2021 were not aligned to the NDP-III;
;which negatively affects the achievement of NDP-III;
;objectives.;
;;
;;
