,Project Reference Number,Gulu- 754/wrks/USMID/16-17/00001
0,Executing Agency,Gulu Municipal Council
1,Project Manager,Gulu Municipal Council Engineer
2,Design Consultant,M/S Sileshi Consult in JV with SABA Engineering P.L.C.
3,Project Manager,"The Municipal Engineer, Gulu Municipal Council"
4,Project Manager’s Representative - Supervising/Design Review Consultant,UB Consulting Engineers Ltd
5,Original Supervision Consultancy Amount,"UGX 694,800,000 Excl. VAT"
6,Revised Supervision Consultancy Amount (Addendum No.1 sighed on 10 th August 2018),"UGX 788,550,000 Excl. VAT {Additional UGX 93,750,000 in respect of design and supervision of extension of Laroo Road by 530m length}"
7,Contractor,Chongqing International Construction Corporation (CICO)
8,Original Contract Amount,"UGX: 50,502,484,790; Incl. 18% VAT and 10% Contingencies"
9,Original Contract Amount,"UGX: 43,499,058,548.7; Excl. 18% VAT but Incl. 10% Contingencies"
10,Revised Contract Amount (September 2017 Design Review),"UGX: 42,579,394,198; Excl. 18% VAT but Incl. Contingencies"
11,Corrected Revised Contract Amount (11 th July 2018),"UGX: 42,579,553,237; Excl. 18% VAT but Incl. Contingencies"
12,Works Contract Signing Date,09 th August 2017
13,Commencement Date,14 th August 2017
14,Original Time for Completion,Twelve (12) Months
15,Original Completion Date,14 th August 2018
16,Revised Time for Completion,Fourteen (14) Months
17,Revised Completion Date,20 th November 2018
