,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Cause,Unnamed: 8,Unnamed: 9,Implication,Unnamed: 11,Unnamed: 12,Recommendations,Unnamed: 14
0,Management Response We have remeasured all quantities for IPC-7 and accordingly corrected Particulary for item 23.17(c) the remeasured value is 278. Audit Comment To be followed up., , , , , , , , , , , , , , 
1,"13: Overpayment computation on PETER PAUL OPOK ROAD (0.897KM) The Auditor conducted measurements of 4 BoQ Items. Of these items checked, none of the items was found to have been overpaid; as shown in the table inset below. In fact, some items were observed to have been underpaid; as shown in the table inset below; which requires re-checking and resolving through subsequent IPCs. Item No. Item Description Location Unit Measured Qty Certifie d Qty Differenc e (Certified -Audit) Rate Amount of Overpay ment Remarks 13) PETER PAUL OPOK ROAD (0.897KM) 23.01(a) Precast concrete C lass 30 barrier kerb ref. ANNEX 3.1.5(b)(iii)_10( a) m 1,432.80 1,352.29 -80.51 51,200 0 Quantities should be checked to resolve underpayment 23.17(b) Precast Cover slabs without up stand beam ref. ANNEX 3.1.5(b)(iii)_10( b) No. 683.00 682.00 -1.00 126,700 0 Ok 23.17(c ) Cover slabs with Up stand beam ref. ANNEX 3.1.5(b)(iii)_10( b) No. 353.00 348.00 -5.00 158,350 0 Quantities should be checked to resolve underpayment 42.01(a) Asphalt concrete (A/C) ref. ANNEX 3.1.5(b)(iii)_10( d) m3 348.37 346.50 -1.87 896,800 0 Ok Management Response We have remeasured all quantities for IPC-7 and accordingly corrected. Audit Comment To be followed up.", , , , , , , , , , , , , , 
2, , , , , , , , , , , , , , , 
3, , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , 
6, , , , , , , , , , , , , , , 
7, , , , , , , , , , , , , , , 
8, , , , , , , , , , , , , , , 
9,"(iv) Timeliness in Payments Following in the table below are details of submissions,", , , , , , ,-, , ,- Negatively affects, , ,The Accounting Officer should ensure that, 
