,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Cause,Implication,Recommendation,Unnamed: 8
0," Km 0+180 LHS, 0+110 LHS, and several other locations: Drains intersecting covered rectangular drain have no provision to trap rubbish -", , , , ,Preventive measure not incorporated into the works. - Rubbish could accumulate in the covered rectangular drain and cause drainage blockage, , ,- Metal grills could have been installed in the channels to trap rubbish emanating from dwellings
1, , , , , , , , , 
2, , , , , , , , , 
3,"Management Response The amount of gabbage carried by surface water would block the gratings and instead flood roads. However, where it was absolutely necessary to put grattings, they were installed. Audit Comment No verifiable evidence", , , , , , , , 
4,10: Field observations on Timothy Okwera Road (0.25Km), , , , , , , , 
5,Timothy Okwera Road is a dual carriageway road with one lane on either side; a middle parking lane and cycle lane on both LHS and RHS and, , , , , , , , 
6,"raised walkway on both sides. At the time of the audit, the asphalt concrete, kerbing, drainage, walkways and street light works were already", , , , , , , , 
7,completed. The road camber and kerb alignment appearance was good. The asphalt concrete surfacing appeared intact. The following were, , , , , , , , 
8,however observed that require attention:, , , , , , , , 
9, Entire road length: Debris/ soil on top of covered rectangular drain., , , , ,Site untidiness Debris/ silt in covered rectangular drain, , ,The Consultant and the Municipality should ensure that the rectangular drains are thoroughly cleaned by the Contractor before taking- over by the Employer.
10, , , , , , , , , 
11, , , , , , , , , 
