,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Cause,Unnamed: 7,Unnamed: 8,Implication,Unnamed: 10,Unnamed: 11,Recommendations,Unnamed: 13,Unnamed: 14
0,Management Response All quantities were remeasured and corrected. The particular item 23.18a access slabs was corrected for IPC-6 and has been reconfirmed for IPC-7 as 290. Audit Comment To be followed up, , , , , , , , , , , , , , 
1,"10: Overpayment computation on TIMOTHY OKWERA ROAD (0.25KM) The Auditor conducted measurements of 5 BoQ Items. Of these items checked, none of the items was found to have been overpaid. In fact, some items were observed to have been underpaid; as shown in the table inset below; which requires re-checking and resolving through subsequent IPCs. Item No. Item Description Location Un it Measur ed Qty Certifi ed Qty Difference (Certified- Audit) Rate Amount of Overpaym ent Remarks 10) TIMOTHY OKWERA ROAD (0.25KM) 23.01(a) Precast concrete Class 30 barrier kerb ref. ANNEX 3.1.5(b)(iii)_10(a) m 482.90 477.22 -5.68 51,200 0 Ok 23.17(b) Precast Cover slabs without up stand beam ref. ANNEX 3.1.5(b)(iii)_10(b) No. 259.00 257.00 -2.00 126,700 0 Ok 23.17(c ) Cover slabs with Up stand beam ref. ANNEX 3.1.5(b)(iii)_10(b) No. 144.00 144.00 0.00 158,350 0 Ok 23.18(a) Class 30 precast concrete Access Slab ref. ANNEX 3.1.5(b)(iii)_10(c) No. 295.60 295.70 0.10 159,600 OK 42.01(a) Asphalt concrete (A/C) ref. ANNEX 3.1.5(b)(iii)_10(d) m3 128.48 132.00 3.52 896,800 OK TOTAL 0 Management Response We have remeasured all quantities for IPC-7 and accordingly corrected. Audit Comment To be followed up.", , , , , , , , , , , , , , 
2, , , , , , , , , , , , , , , 
3, , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , 
6, , , , , , , , , , , , , , , 
7, , , , , , , , , , , , , , , 
8, , , , , , , , , , , , , , , 
9, , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , 
