,BoQs,Bills of Quantities
0,CBR,California Bearing Ratio
1,CML,Central Materials Laboratory
2,DCP,Dynamic Cone Penetrometer
3,DDEG,Discretional Development Equalisation Grant
4,DLP,Defects Liability Period
5,DSD,Double Surface Dressing
6,GCC,General Conditions of Contract
7,MLHUD,Ministry of Lands Housing and Urban Development
8,mm,Millimetre
9,OAG,Office of Auditor General
10,PDU,Procurement and Disposal Unit
11,SCC,Special Conditions of Contract
12,SD,Surface Dressing
13,SFG,Schools Facilitation Grant
14,URF,Uganda Road Fund.
15,USMID,Uganda Support to Municipal Infrastructure Development Program.
16,WB,World Bank
