,AIA,Appropriation in Aid
0,CAO,Chief Administrative Officer
1,DLG,District Local Government
2,GoU,Government of Uganda
3,HR,Human Resource
4,INTOSAI,International Organization of Supreme Audit Institutions
5,ICT,Information & Communication Technology
6,ISSAIs,International Standards of Supreme Audit Institutions
7,LGFAM,"Local Government Financial and Accounting Manual, 2007"
8,LGFAR,"Local Government Financial and Accounting Manual, 2007"
9,LLG,Lower Local Governments
10,MDAs,"Ministries, Departments and Agencies"
11,MoFPED,"Ministry of Finance, Planning and Economic Development"
12,MoGLSD,"Ministry of Gender, Labour and Social Development"
13,MoLG,Ministry of Local Government
14,NAA,National Audit Act
15,NTR,Non-Tax Revenue
16,NUSAF,Northern Uganda Social Action Fund
17,OAG,Office of the Auditor General
18,PDU,Procurement & Disposal Unit
19,PFMA,Public Finance Management Act
20,PFMR,Public Finance Management Regulations
21,PPDA,Public Procurement & Disposal of Public Assets
22,PBS,Program Budgeting System
23,PS/ST,Permanent Secretary / Secretary to the Treasury
24,TI,Treasury Instructions
25,TSA,Treasury Single Account
26,TSSA,Treasury Sub Single Account
27,UCF,Uganda Consolidated Fund
28,UGX,Uganda Shilling
29,VFM,Value for Money
30,RRH,Regional Referral Hospital
31,MOH,Ministry of Health
